var_smoothing,F1,Std,Time,No,Attack
0.0006579332246575676,0.8015969058702739,0.0,0.101,0,SYN
1e-09,0.860251709254803,1.1102230246251565e-16,0.103,1,SYN
0.0023101297000831605,0.7849428130587054,0.0,0.09,2,SYN
1.0,0.7849428130587054,0.0,0.082,3,SYN
1.0,0.7849428130587054,0.0,0.103,4,SYN
5.3366992312063123e-05,0.8744854202401372,0.0,0.092,5,SYN
0.03511191734215131,0.7849428130587054,0.0,0.082,6,SYN
1.0,0.7849428130587054,0.0,0.082,7,SYN
1.519911082952933e-07,0.9174379797601631,1.1102230246251565e-16,0.133,8,SYN
0.23101297000831597,0.7849428130587054,0.0,0.09,9,SYN
2.310129700083158e-05,0.6555343070683555,0.0,0.018,0,HTTP
3.5111917342151275e-06,0.6890456168904562,0.0,0.021,1,HTTP
5.336699231206313e-06,0.6808369463456312,0.0,0.019,2,HTTP
0.15199110829529336,0.5775141023147248,0.0,0.017,3,HTTP
1.873817422860383e-05,0.6555343070683555,0.0,0.015,4,HTTP
2.310129700083158e-08,0.8313870313071829,0.0,0.018,5,HTTP
0.533669923120631,0.5575793416124581,0.0,0.02,6,HTTP
0.01873817422860384,0.5823954243613979,0.0,0.022,7,HTTP
1e-07,0.7584973011375944,0.0,0.018,8,HTTP
0.43287612810830584,0.5626258558195731,0.0,0.02,9,HTTP
1.2328467394420635e-09,0.4464000902799995,0.0,0.04,0,ACK
2.310129700083158e-06,0.41206644871872833,0.0,0.039,1,ACK
3.5111917342151277e-07,0.42080889704206753,5.551115123125783e-17,0.035,2,ACK
2.310129700083158e-07,0.4232802380030575,5.551115123125783e-17,0.039,3,ACK
3.5111917342151273e-09,0.4412050508271522,0.0,0.035,4,ACK
1.873817422860383e-08,0.434946920753152,0.0,0.039,5,ACK
2.848035868435799e-06,0.41057257707768346,5.551115123125783e-17,0.037,6,ACK
1e-06,0.4141547932604361,5.551115123125783e-17,0.037,7,ACK
0.15199110829529336,0.5473008280323286,0.0,0.034,8,ACK
8.111308307896856e-09,0.43718564546178074,0.0,0.04,9,ACK
1.519911082952933e-06,0.1740548979526578,0.0,0.274,0,UDP
0.001873817422860383,3.432991814221741e-05,0.0,0.235,1,UDP
3.5111917342151277e-08,0.13966104488035544,0.0,0.271,2,UDP
0.001,3.432991814221741e-05,0.0,0.236,3,UDP
0.02848035868435802,3.432991814221741e-05,0.0,0.238,4,UDP
0.004328761281083057,3.432991814221741e-05,0.0,0.238,5,UDP
0.0001232846739442066,0.369185582896023,0.0,0.315,6,UDP
0.08111308307896872,3.432991814221741e-05,0.0,0.239,7,UDP
6.579332246575682e-08,0.14085676992680055,0.0,0.278,8,UDP
0.0001,0.36763336008836744,0.0,0.299,9,UDP
0.02310129700083159,0.6847263862814873,0.0,0.018,0,ARP
0.0008111308307896872,0.6235358291226458,0.0,0.018,1,ARP
0.0001873817422860383,0.6917079207920792,0.0,0.016,2,ARP
0.533669923120631,0.5681910984075133,0.0,0.014,3,ARP
0.0015199110829529332,0.6045111903231462,0.0,0.013,4,ARP
0.1,0.5708358603177482,0.0,0.014,5,ARP
1.519911082952933e-08,0.8843987642585551,0.0,0.014,6,ARP
6.579332246575683e-06,0.7081171144384666,0.0,0.016,7,ARP
0.03511191734215131,0.6093038972741609,0.0,0.015,8,ARP
0.15199110829529336,0.5708358603177482,0.0,0.015,9,ARP
3.511191734215127e-05,0.9425323964186256,0.0,0.048,0,SP
3.5111917342151275e-06,0.9425323964186256,0.0,0.04,1,SP
0.43287612810830584,0.8444657488254818,0.0,0.039,2,SP
2.310129700083158e-09,0.9425323964186256,0.0,0.047,3,SP
8.111308307896872e-07,0.9425323964186256,0.0,0.042,4,SP
0.15199110829529336,0.8572818340338395,0.0,0.043,5,SP
1.519911082952933e-09,0.9425323964186256,0.0,0.048,6,SP
1.0,0.8341495471614756,0.0,0.042,7,SP
2.848035868435799e-08,0.9425323964186256,0.0,0.047,8,SP
0.23101297000831597,0.8572818340338395,0.0,0.044,9,SP
0.0001519911082952933,0.34971677140045015,0.0,0.324,0,BF
0.005336699231206307,0.34971677140045015,0.0,0.315,1,BF
2.848035868435799e-07,0.3496451508539095,0.0,0.318,2,BF
0.03511191734215131,0.34971677140045015,0.0,0.314,3,BF
0.008111308307896872,0.34971677140045015,0.0,0.309,4,BF
3.511191734215127e-05,0.34971677140045015,0.0,0.316,5,BF
1e-09,0.3075579114185498,0.0,0.329,6,BF
1.519911082952933e-09,0.3075579114185498,0.0,0.33,7,BF
0.001,0.34971677140045015,0.0,0.308,8,BF
0.0005336699231206307,0.34971677140045015,0.0,0.311,9,BF
