bootst,criter,max_depth,max_features,min_samp_split,n_estimators,F1,Std,Time,No,Attack
False,gini,13,6,4,188,0.9914825015895742,0.0,21.154,0,SYN
True,entropy,5,8,7,160,0.9914825015895742,0.0,19.316,1,SYN
True,entropy,31,5,6,181,0.9914825015895742,0.0,14.187,2,SYN
False,gini,15,8,5,160,0.9914825015895742,0.0,19.098,3,SYN
False,entropy,23,6,4,168,0.9914825015895742,0.0,19.432,4,SYN
True,entropy,28,2,2,121,0.982672783779784,0.0,8.0,5,SYN
False,gini,13,7,8,175,0.9914825015895742,0.0,17.535,6,SYN
True,gini,28,6,10,124,0.9914825015895742,0.0,10.327,7,SYN
True,gini,10,6,2,196,0.9914825015895742,0.0,13.002,8,SYN
True,gini,23,8,5,193,0.9914825015895742,0.0,17.516,9,SYN
False,gini,11,10,7,110,0.9943676873288524,0.0,1.995,0,HTTP
False,gini,16,4,3,58,0.9943676873288524,0.0,1.548,1,HTTP
False,gini,25,4,5,153,0.9943676873288524,0.0,2.171,2,HTTP
True,gini,17,6,5,52,0.9943676873288524,0.0,1.292,3,HTTP
False,entropy,10,7,3,173,0.9926740075008519,0.0013828837887486895,2.507,4,HTTP
True,gini,15,6,10,2,0.9949313520427573,0.0011273294278101086,0.937,5,HTTP
True,gini,19,1,8,176,0.9938031273861856,0.0011291198853336849,2.019,6,HTTP
True,entropy,15,7,9,2,0.9938031273861855,0.0011291198853336849,0.931,7,HTTP
False,gini,18,8,6,43,0.9949313520427575,0.0011273294278101088,1.412,8,HTTP
True,entropy,25,8,3,174,0.9932385674435187,0.0013828837887486895,2.581,9,HTTP
True,gini,25,1,3,34,0.9015147352713984,0.0774152270729149,6.104,0,ACK
True,gini,7,4,7,7,0.916119430188296,0.08299517398299042,3.653,1,ACK
False,gini,10,3,3,16,0.8755283940293467,0.08396946123341,4.73,2,ACK
True,gini,8,2,5,177,0.9834081158770214,0.0014342084197895343,9.46,3,ACK
True,gini,10,3,7,135,0.9489454852998715,0.04737582041184612,8.732,4,ACK
True,entropy,1,5,3,70,0.816800000635892,0.00040013310788950793,5.717,5,ACK
True,entropy,4,8,6,151,0.9849088568306665,0.001179813256988862,8.258,6,ACK
False,gini,3,8,6,118,0.9729470071419746,0.0053991377221022175,8.705,7,ACK
True,gini,23,2,3,128,0.850782511027315,0.03530093115641442,6.417,8,ACK
True,entropy,10,7,9,25,0.8185689596025882,0.08275860395270723,5.302,9,ACK
False,gini,21,3,5,54,0.9734567901234568,0.0,0.974,0,UDP
False,gini,14,9,5,8,0.9734567901234568,0.0,0.867,1,UDP
True,gini,9,5,8,76,0.9473326075122482,0.0,1.311,2,UDP
False,gini,12,9,2,147,0.9734567901234568,0.0,1.663,3,UDP
False,gini,16,3,5,60,0.9734567901234568,0.0,1.119,4,UDP
False,gini,16,6,5,58,0.9734567901234568,0.0,1.075,5,UDP
False,gini,3,10,3,9,0.9473326075122482,0.0,0.873,6,UDP
False,gini,9,7,2,100,0.9734567901234568,0.0,1.241,7,UDP
False,gini,24,3,6,143,0.9734567901234568,0.0,1.661,8,UDP
False,gini,17,7,5,44,0.9734567901234568,0.0,0.928,9,UDP
False,entropy,32,4,6,90,0.5978184414894203,0.03015503471516403,1.326,0,ARP
False,entropy,13,2,9,38,0.6167115387393187,0.03692820899290954,0.955,1,ARP
True,gini,22,5,2,135,0.6364504045478665,0.033326862138466584,1.879,2,ARP
False,gini,5,2,9,2,0.544700235444463,0.11744839794031373,0.947,3,ARP
False,entropy,6,2,9,64,0.6217960030986447,0.005167114330247162,1.054,4,ARP
False,entropy,30,1,8,127,0.6301699321827408,0.02776045070129048,1.17,5,ARP
True,entropy,10,2,3,44,0.6409111263212816,0.012493627265720019,1.146,6,ARP
False,gini,22,2,6,86,0.6612374674804256,0.01010593577547006,1.488,7,ARP
True,gini,32,4,4,154,0.6274012377090928,0.026594362206287418,1.792,8,ARP
True,entropy,17,3,6,137,0.6229658584499294,0.031326426966579085,1.912,9,ARP
True,entropy,27,3,5,10,0.9931364406498122,0.00840610911363417,0.901,0,SP
False,entropy,4,5,2,105,0.9965682203249061,0.006863559350187698,1.471,1,SP
True,entropy,19,6,7,191,1.0,0.0,1.726,2,SP
False,gini,5,4,9,12,0.9931364406498122,0.00840610911363417,0.898,3,SP
False,entropy,14,3,8,8,0.9828411016245309,1.1102230246251565e-16,0.81,4,SP
False,gini,6,4,2,146,0.9897046609747184,0.00840610911363417,1.607,5,SP
True,entropy,17,4,6,52,0.9931364406498122,0.00840610911363417,1.188,6,SP
True,gini,32,9,3,3,0.9931364406498122,0.00840610911363417,0.785,7,SP
True,gini,14,2,10,143,1.0,0.0,2.136,8,SP
True,entropy,20,5,8,117,0.9931364406498122,0.00840610911363417,1.669,9,SP
False,gini,4,7,6,88,0.5919161855919234,0.00694172413872742,4.025,0,BF
False,gini,7,8,2,80,0.5822526775148749,0.0014923252024401155,3.878,1,BF
True,entropy,6,1,3,189,0.5941967991200892,0.002845095104863689,3.651,2,BF
False,gini,5,7,9,69,0.6007994008917191,0.0027293548750898762,4.064,3,BF
True,gini,25,7,6,181,0.538877144395504,0.006044127887798022,6.459,4,BF
True,entropy,10,1,9,108,0.5310793532938314,0.006259850962716029,3.079,5,BF
False,gini,6,6,2,65,0.600670932607021,0.0036987653990675994,2.687,6,BF
False,gini,6,6,8,190,0.6021787763109587,0.0028298215100520207,5.232,7,BF
True,gini,5,1,3,107,0.5889715824322457,0.0031596835083585904,3.014,8,BF
True,entropy,5,4,2,166,0.5985250468468559,0.0031675814397366794,4.375,9,BF
