Attack,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ACK,NB,0.7185970636215335,0.7332808130470291,0.7272208652053738,0.7332808130470291,0.7178986964394689,0.4451528102445435,0.7332808130470292,0.00283143520355221,0.00030007362365721
ACK,RF,0.8642740619902121,0.8394017636917088,0.8948506637983696,0.8394017636917088,0.8470777911943056,0.7025933213581215,0.8394017636917086,0.20786874294281002,0.0019098043441772104
ACK,SVM,0.42006525285481244,0.508298755186722,0.7071663920922571,0.508298755186722,0.309279355306479,0.013659848057952501,0.508298755186722,12.865982151031494,0.6310956478118896
ARP,NB,0.5333333333333333,0.5800000000000001,0.5316055625790138,0.5800000000000001,0.44905669177491186,0.06342913776015849,0.5800000000000001,0.00059444904327391,0.00021424293518065998
ARP,RF,0.6617777777777778,0.5262499999999999,0.5121157709178111,0.5262499999999999,0.48696849750600046,0.029419943905460533,0.5262499999999999,0.09742138385772701,0.004698896408081009
ARP,SVM,0.888888888888889,0.5,0.4444444444444445,0.5,0.4705882352941176,0.0,0.5,0.054858183860778766,0.00898630619049067
BF,NB,0.5377914668868213,0.4995035440076287,0.26903953785139023,0.4995035440076287,0.3497167714004501,-0.0010689257671079,0.4995035440076287,0.0007763862609863001,0.03497996330261226
BF,RF,0.7144836418675049,0.6911417457852703,0.8218274602426165,0.6911417457852703,0.6686190125094814,0.39878421964987704,0.6911417457852703,0.050225734710693304,0.13152027130126948
BF,SVM,0.5383259772012828,0.5,0.2691629886006414,0.5,0.34994272032035345,0.0,0.5,0.23025634288787838,12.042025017738343
HTTP,NB,0.8021739130434783,0.7479224376731303,0.8771929824561404,0.7479224376731303,0.7614814814814814,0.5444578057579401,0.7479224376731303,0.00728933811187737,0.00071225166320797
HTTP,RF,0.878967391304348,0.845775623268698,0.9173567458375755,0.845775623268698,0.8629778714585475,0.7309312709091371,0.845775623268698,2.4178125619888307,0.009704136848449651
HTTP,SVM,0.6076086956521739,0.5,0.3038043478260869,0.5,0.3779580797836376,0.0,0.5,212.28194835186005,2.317993903160095
SP,NB,0.968054211035818,0.7249999999999999,0.9835984095427437,0.7249999999999999,0.8020072833719573,0.6065034456487862,0.7249999999999999,0.00319116115570064,0.0004902124404907
SP,RF,0.97918683446273,0.8208333333333332,0.9892035954390955,0.8208333333333332,0.8835199270177208,0.7677752226350153,0.8208333333333332,0.055877542495727496,0.00130026340484613
SP,SVM,0.8373668925459826,0.9136690647482014,0.631578947368421,0.9136690647482014,0.6610892388451444,0.35758706467661694,0.9136690647482014,0.6012778759002686,0.01830914020538326
SYN,NB,0.9994207375941302,0.9659090909090906,0.9997080576099651,0.9659090909090906,0.9822069273538288,0.9644142214852259,0.9659090909090906,0.008312129974365182,0.00309951305389399
SYN,RF,0.9997876037845144,0.9875,0.9998929165628146,0.9875,0.993611247630262,0.9872225175537949,0.9875,0.0643332481384277,0.00169093608856195
SYN,SVM,0.9915041513805752,0.5,0.4957520756902876,0.5,0.4978669769245684,0.0,0.5,202.4665181875229,7.00248155593872
UDP,NB,0.007878071112467497,0.5038898257876945,0.5000499844279283,0.5038898257876945,0.00781955467277,1.5554445241816599e-06,0.5038898257876945,0.00071384906768795,0.01649127006530756
UDP,RF,0.02003280940027464,0.5099677978129983,0.5000506047708233,0.5099677978129983,0.01963929261635691,4.03705514238073e-06,0.5099677978129983,0.15059623718261714,0.6823512315750122
UDP,SVM,9.919121013276364e-05,0.5,4.959560506638182e-05,0.5,9.918137221243124e-05,0.0,0.5,0.08410992622375484,8.618150186538696
