Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
139.196.2.126-192.168.0.16-80-56417-6,139.196.2.126,80,192.168.0.16,56417,6,25/07/2019 02:25:09 PM,122,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16393.44262295082,122.0,0.0,122.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,8196.72131147541,8196.72131147541,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,123,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.13-210.89.164.90-18256-7777-6,192.168.0.13,18256,210.89.164.90,7777,6,25/07/2019 02:25:49 PM,17742416,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1127242197454957,17742416.0,0.0,17742416.0,17742416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,0.0563621098727478,0.0563621098727478,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,43357,0,0,0.0,0.0,0.0,0.0,17742416.0,0.0,17742416.0,17742416.0,1
192.168.0.19-23.35.218.205-6034-443-6,192.168.0.19,6034,23.35.218.205,443,6,25/07/2019 02:25:11 PM,1526547,3,1,270.0,0.0,232.0,0.0,90.0,124.43472184241824,0.0,0.0,0.0,0.0,176.86975900512724,2.6202927260018853,508849.0,869490.6341686493,1512848.0,4987.0,1521560.0,760780.0,1063584.7654268087,1512848.0,8712.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,32,1.9652195445014136,0.6550731815004713,0.0,232.0,54.0,100.85633346498376,10172.0,0,1,0,0,0,0,0,0,0.0,67.5,90.0,0.0,0,0,0,0,0,0,3,270,1,0,-1,65535,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-58.229.187.11-36865-443-6,192.168.0.24,36865,58.229.187.11,443,6,25/07/2019 02:26:45 PM,9363317,80,159,1524.0,218696.0,342.0,0.0,19.049999999999983,74.64259143207852,1448.0,0.0,1375.446540880503,303.057826453414,23519.44294954448,25.525142425488745,39341.66806722689,591176.3649129014,9120952.0,70.0,216025.0,2734.493670886074,8140.665713144383,57018.0,70.0,9363317.0,59261.5,725928.8180198901,9125853.0,71.0,0,0,0,0,2560,5104,8.543980728197068,16.981161697291675,0.0,1448.0,917.5833333333331,689.7789238138521,475794.963737796,0,1,0,0,0,0,0,0,1.0,921.4225941422594,19.05,1375.446540880503,0,0,0,0,0,0,80,1524,159,218696,-1,147,5,0,242290.0,0.0,242290.0,242290.0,9120952.0,0.0,9120952.0,9120952.0,0
192.168.0.19-20.189.72.203-5695-443-6,192.168.0.19,5695,20.189.72.203,443,6,25/07/2019 02:23:05 PM,1790687,4,1,196.0,0.0,196.0,0.0,49.00000000000001,98.0,0.0,0.0,0.0,0.0,109.45519792124476,2.792224436766448,447671.75,467610.7160194792,894066.0,5330.0,1706315.0,568771.6666666666,489896.4520226017,894066.0,5330.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,32,2.2337795494131583,0.5584448873532896,0.0,196.0,32.66666666666667,80.01666493091714,6402.666666666666,0,1,0,0,0,0,0,0,0.0,39.2,49.0,0.0,0,0,0,0,0,0,4,196,1,0,-1,64240,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-223.39.118.176-42798-443-6,192.168.0.24,42798,223.39.118.176,443,6,25/07/2019 02:24:38 PM,20017074,17,17,2629.0,8198.0,661.0,0.0,154.64705882352942,260.1672397652303,1460.0,0.0,482.2352941176471,588.2955814694434,540.8882437063479,1.6985499479094697,606578.0,2029617.1368654573,9996813.0,77.0,10012631.0,625789.4375,1586851.44962104,4925428.0,77.0,20017074.0,1251067.125,2833207.401933596,9999865.0,79.0,0,0,0,0,340,364,0.8492749739547348,0.8492749739547348,0.0,1460.0,309.3428571428572,473.7564491479179,224445.1731092437,0,1,0,0,0,0,0,0,1.0,318.44117647058823,154.64705882352942,482.2352941176471,0,0,0,0,0,0,17,2629,17,8198,-1,35033,6,0,10020140.0,0.0,10020140.0,10020140.0,9996813.0,0.0,9996813.0,9996813.0,0
192.168.0.24-223.39.123.191-43081-443-6,192.168.0.24,43081,223.39.123.191,443,6,25/07/2019 02:27:03 PM,4024521,2,1,37.0,0.0,37.0,0.0,18.5,26.16295090390226,0.0,0.0,0.0,0.0,9.193640684195708,0.7454303257455981,2012260.5,2837064.434078384,4018368.0,6153.0,6153.0,6153.0,0.0,6153.0,6153.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,0.4969535504970653,0.2484767752485326,0.0,37.0,9.25,18.5,342.25,0,0,0,0,1,0,0,0,0.0,12.333333333333334,18.5,0.0,0,0,0,0,0,0,2,37,1,0,-1,16616,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.13-210.89.164.90-30397-7777-6,192.168.0.13,30397,210.89.164.90,7777,6,25/07/2019 02:25:21 PM,2937439,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6808652026476124,2937439.0,0.0,2937439.0,2937439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,0.3404326013238062,0.3404326013238062,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,28804,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.16-3.1.172.83-52072-6500-6,192.168.0.16,52072,3.1.172.83,6500,6,25/07/2019 02:25:02 PM,809806,12,11,1143.0,5822.0,618.0,0.0,95.25,193.5144462542549,1448.0,0.0,529.2727272727274,654.8267085128845,8600.825382869478,28.40186415017918,36809.36363636363,72907.17675010461,303904.0,74.0,715387.0,65035.181818181816,129745.91879656036,435929.0,74.0,809253.0,80925.3,93507.71836954304,303904.0,76.0,0,0,0,0,360,372,14.818363904441313,13.583500245737868,0.0,1448.0,290.20833333333337,505.1431978779075,255169.6503623188,0,1,0,0,0,0,1,1,0.0,302.8260869565217,95.25,529.2727272727273,0,0,0,0,0,0,12,1143,11,5822,-1,128,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.16-203.119.128.90-56385-80-6,192.168.0.16,56385,203.119.128.90,80,6,25/07/2019 02:23:54 PM,198700,3,6,1549.0,318.0,1196.0,0.0,516.3333333333333,614.5016951427663,318.0,0.0,53.0,129.82295636750845,9396.074484146957,45.29441368897836,24837.5,45007.16072550487,99726.0,74.0,207.0,103.5,41.71930009000631,133.0,74.0,198700.0,39739.99999999999,54359.25782697921,102735.0,75.0,0,0,0,0,60,156,15.09813789632612,30.19627579265224,0.0,1196.0,186.7,381.1648957836723,145286.67777777778,0,1,0,0,0,0,1,1,2.0,207.44444444444449,516.3333333333334,53.0,0,0,0,0,0,0,3,1549,6,318,-1,65,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
