Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.217.161.78-192.168.0.14-443-61991-17,172.217.161.78,443,192.168.0.14,61991,17,31/05/2019 03:06:38 PM,70126,6,1,1778.0,30.0,1350.0,16.0,296.33333333333337,531.7738867852263,30.0,30.0,30.0,0.0,25782.163534209853,99.82032341784787,11687.666666666666,11951.642458953776,27007.0,88.0,61035.0,12207.0,13286.436448498898,27007.0,88.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,8,85.56027721529819,14.260046202549695,16.0,1350.0,229.75,466.03456340245225,217188.2142857143,0,0,0,0,0,0,0,0,0.0,262.57142857142856,296.3333333333333,30.0,0,0,0,0,0,0,6,1778,1,30,-1,-1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.16-31.13.95.8-61910-443-6,192.168.0.16,61910,31.13.95.8,443,6,31/05/2019 03:04:02 PM,618,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3236.245954692557,618.0,0.0,618.0,618.0,0.0,0.0,0.0,0.0,0.0,618.0,618.0,0.0,618.0,618.0,0,0,0,0,0,52,0.0,3236.245954692557,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,132,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.13-192.168.0.16-9010-53263-6,192.168.0.13,9010,192.168.0.16,53263,6,31/05/2019 03:04:06 PM,155,1,1,0.0,280.0,0.0,0.0,0.0,0.0,280.0,280.0,280.0,0.0,1806451.6129032257,12903.225806451614,155.0,0.0,155.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,32,32,6451.612903225807,6451.612903225807,0.0,280.0,186.66666666666669,161.65807537309522,26133.33333333333,0,0,0,1,1,0,0,0,1.0,280.0,0.0,280.0,0,0,0,0,0,0,1,0,1,280,-1,1869,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
172.217.31.142-192.168.0.23-443-54458-6,172.217.31.142,443,192.168.0.23,54458,6,31/05/2019 03:07:23 PM,8934,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.86389075442133,8934.0,0.0,8934.0,8934.0,0.0,0.0,0.0,0.0,0.0,8934.0,8934.0,0.0,8934.0,8934.0,0,0,0,0,0,64,0.0,223.86389075442133,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,796,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
163.152.1.1-192.168.0.16-53-64530-17,192.168.0.16,64530,163.152.1.1,53,17,31/05/2019 03:03:57 PM,1609,0,2,0.0,507.0,0.0,0.0,0.0,0.0,454.0,53.0,253.5,283.5498192558056,315102.5481665631,1243.008079552517,1609.0,0.0,1609.0,1609.0,0.0,0.0,0.0,0.0,0.0,1609.0,1609.0,0.0,1609.0,1609.0,0,0,0,0,0,16,0.0,1243.008079552517,53.0,454.0,186.66666666666663,231.51745794503992,53600.33333333333,0,0,0,0,0,0,0,0,0.0,280.0,0.0,253.5,0,0,0,0,0,0,0,0,2,507,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
163.152.1.1-192.168.0.16-53-65301-17,192.168.0.16,65301,163.152.1.1,53,17,31/05/2019 03:03:57 PM,1426,0,2,0.0,345.0,0.0,0.0,0.0,0.0,308.0,37.0,172.5,191.6259377015544,241935.48387096776,1402.5245441795232,1426.0,0.0,1426.0,1426.0,0.0,0.0,0.0,0.0,0.0,1426.0,1426.0,0.0,1426.0,1426.0,0,0,0,0,0,16,0.0,1402.5245441795232,37.0,308.0,127.33333333333331,156.46192295038858,24480.33333333333,0,0,0,0,0,0,0,0,0.0,191.0,0.0,172.5,0,0,0,0,0,0,0,0,2,345,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.23-31.13.95.8-44302-443-6,31.13.95.8,443,192.168.0.23,44302,6,31/05/2019 03:07:04 PM,73,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,424657.5342465753,27397.260273972603,73.0,0.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,13698.6301369863,13698.6301369863,0.0,31.0,10.333333333333334,17.8978583448784,320.33333333333337,1,0,0,0,1,0,0,0,1.0,15.5,31.0,0.0,0,0,0,0,0,0,1,31,1,0,-1,136,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.1-239.255.255.250-42360-1900-17,192.168.0.1,42360,239.255.255.250,1900,17,31/05/2019 03:04:00 PM,119997082,96,1,41324.0,372.0,452.0,372.0,430.45833333333326,21.86942911519552,372.0,372.0,372.0,0.0,347.4751161032399,0.8083529897835349,1249969.604166666,8480955.353302995,59184094.0,70.0,119996678.0,1263122.9263157898,8524963.032184293,59184094.0,70.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,768,8,0.8000194538063851,0.0083335359771498,372.0,452.0,429.265306122449,23.182623700907968,537.4340416578999,0,0,0,0,0,0,0,0,0.0,433.6907216494845,430.4583333333333,372.0,0,0,0,0,0,0,96,41324,1,372,-1,-1,96,0,914070.5,157566.72537214195,1025487.0,802654.0,59081816.5,144642.22762561424,59184094.0,58979539.0,0
192.168.0.23-52.76.40.188-41808-443-6,52.76.40.188,443,192.168.0.23,41808,6,31/05/2019 03:04:06 PM,182759,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.415060270629628,91379.5,78864.32641251684,147145.0,35614.0,0.0,0.0,0.0,0.0,0.0,182759.0,91379.5,78864.32641251684,147145.0,35614.0,0,0,0,0,0,108,0.0,16.415060270629628,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,821,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.16-13.250.177.143-53259-6500-6,192.168.0.16,53259,13.250.177.143,6500,6,31/05/2019 03:04:01 PM,79,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25316.45569620253,79.0,0.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,12658.227848101267,12658.227848101267,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
