Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.13-192.168.0.16-9010-53014-6,192.168.0.16,53014,192.168.0.13,9010,6,04/09/2019 02:59:06 PM,35824,5,5,960.0,197.0,480.0,0.0,192.0,262.9068276024797,197.0,0.0,39.4,88.10107831349171,32296.784278695846,279.1424743188924,3980.444444444444,9242.368934844451,28526.0,76.0,4379.0,1094.75,1814.79941499513,3810.0,76.0,35824.0,8956.0,14964.656071334664,31313.0,512.0,0,0,0,0,172,188,139.57123715944618,139.57123715944618,0.0,480.0,105.18181818181816,194.4000093527869,37791.36363636363,0,1,0,0,0,0,1,1,1.0,115.7,192.0,39.4,0,0,0,0,0,0,5,960,5,197,-1,1869,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.16-52.77.93.33-55225-80-6,192.168.0.16,55225,52.77.93.33,80,6,04/09/2019 02:57:23 PM,30726211,12,9,5265.0,179.0,1448.0,0.0,438.75,622.6464230860225,174.0,0.0,19.88888888888889,57.81531900034032,177.17771969996562,0.6834555682768696,1536310.55,6649003.754992524,29778454.0,71.0,30619747.0,2783613.363636364,8988265.945767218,29878355.0,74.0,947757.0,118469.625,252125.0467281988,731768.0,71.0,0,0,0,0,372,308,0.390546039015354,0.2929095292615155,0.0,1448.0,247.45454545454547,500.3689807363331,250369.1168831169,0,1,0,0,0,0,1,1,0.0,259.23809523809524,438.75,19.88888888888889,0,0,0,0,0,0,12,5265,9,179,-1,143,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.13-192.168.0.16-9010-52969-6,192.168.0.16,52969,192.168.0.13,9010,6,04/09/2019 02:58:26 PM,27576,7,8,576.0,298.0,192.0,0.0,82.28571428571428,102.62831689437095,149.0,0.0,37.25,68.97359743305509,31694.226863939657,543.9512619669277,1969.7142857142856,4381.269107120788,16923.0,75.0,5381.0,896.8333333333334,1714.610908243228,4386.0,75.0,27576.0,3939.428571428571,6044.985107705474,16923.0,407.0,0,0,0,0,236,284,253.84392225123293,290.1073397156948,0.0,192.0,54.625,84.55836248808669,7150.116666666667,0,1,0,0,0,0,1,1,1.0,58.266666666666666,82.28571428571429,37.25,0,0,0,0,0,0,7,576,8,298,-1,1869,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.1-192.168.0.13-55700-52581-6,192.168.0.13,52581,192.168.0.1,55700,6,04/09/2019 02:56:57 PM,17303,2,5,580.0,488.0,580.0,0.0,290.0,410.1219330881976,488.0,0.0,97.6,218.24023460397947,61723.40056637578,404.554123562388,2883.833333333333,3314.61523659484,9194.0,81.0,9194.0,9194.0,0.0,9194.0,9194.0,17303.0,4325.75,5253.302159911738,11917.0,81.0,0,0,0,0,64,176,115.5868924463966,288.96723111599147,0.0,580.0,133.5,248.41382524213216,61709.42857142857,0,1,0,0,0,0,0,0,2.0,152.57142857142858,290.0,97.6,0,0,0,0,0,0,2,580,5,488,-1,4344,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-223.39.123.191-36707-443-6,192.168.0.24,36707,223.39.123.191,443,6,04/09/2019 02:57:06 PM,20575894,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1458016842427356,10287947.0,14500586.435890725,20541410.0,34484.0,0.0,0.0,0.0,0.0,0.0,20575894.0,20575894.0,0.0,20575894.0,20575894.0,0,0,0,0,20,40,0.0486005614142452,0.0972011228284904,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,9300,0,0,34484.0,0.0,34484.0,34484.0,20541410.0,0.0,20541410.0,20541410.0,1
192.168.0.13-192.168.0.16-9010-53006-6,192.168.0.16,53006,192.168.0.13,9010,6,04/09/2019 02:58:56 PM,1011,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5934.718100890208,202.2,256.2727063110701,659.0,72.0,930.0,232.5,285.3892079248968,659.0,72.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,136,32,4945.598417408507,989.1196834817014,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,-1,32766,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.13-192.168.0.16-9010-52968-6,192.168.0.13,9010,192.168.0.16,52968,6,04/09/2019 02:58:24 PM,148,1,1,0.0,149.0,0.0,0.0,0.0,0.0,149.0,149.0,149.0,0.0,1006756.7567567568,13513.513513513511,148.0,0.0,148.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,32,32,6756.756756756757,6756.756756756757,0.0,149.0,99.33333333333334,86.02519010925424,7400.333333333333,0,0,0,1,1,0,0,0,1.0,149.0,0.0,149.0,0,0,0,0,0,0,1,0,1,149,-1,1869,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.16-101.79.209.173-55234-80-6,192.168.0.16,55234,101.79.209.173,80,6,04/09/2019 02:58:00 PM,369,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5420.054200542005,369.0,0.0,369.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,2710.0271002710024,2710.0271002710024,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-223.39.123.193-36224-8100-6,192.168.0.24,36224,223.39.123.193,8100,6,04/09/2019 02:56:21 PM,3743058,37,33,16745.0,1165.0,1460.0,0.0,452.56756756756766,501.6516354636585,667.0,0.0,35.30303030303031,142.71529456589545,4784.857728627235,18.701286488213647,54247.21739130434,258083.7014799924,2114175.0,73.0,3730256.0,103618.22222222222,353883.3336878219,2114175.0,75.0,3554360.0,111073.75,376422.4295468264,2128076.0,73.0,0,0,0,0,740,684,9.884965715198645,8.816320773015006,0.0,1460.0,252.25352112676043,427.8323008679872,183040.47766599595,0,1,0,0,0,0,0,0,0.0,255.8571428571429,452.5675675675676,35.303030303030305,0,0,0,0,0,0,37,16745,33,1165,-1,56940,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.16-9010-52926-6,192.168.0.16,52926,192.168.0.13,9010,6,04/09/2019 02:54:39 PM,22088,6,7,384.0,149.0,192.0,0.0,64.0,99.14837366290988,149.0,0.0,21.285714285714285,56.31670647837485,24130.74972835929,588.5548714233973,1840.6666666666667,3373.2993380728053,12068.0,75.0,5093.0,1018.6,1796.5290980109394,4223.0,75.0,22088.0,3681.333333333333,4721.735217763346,12068.0,376.0,0,0,0,0,204,252,271.6407098877218,316.9141615356755,0.0,192.0,38.07142857142858,76.27729199916102,5818.225274725274,0,1,0,0,0,0,1,1,1.0,41.0,64.0,21.285714285714285,0,0,0,0,0,0,6,384,7,149,-1,1869,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
