Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.16-110.76.142.34-55226-443-6,110.76.142.34,443,192.168.0.16,55226,6,04/09/2019 02:57:34 PM,2328,0,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,13316.15120274914,859.106529209622,2328.0,0.0,2328.0,2328.0,0.0,0.0,0.0,0.0,0.0,2328.0,2328.0,0.0,2328.0,2328.0,0,1,0,0,0,76,0.0,859.106529209622,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,1,0,0,0,0.0,31.0,0.0,15.5,0,0,0,0,0,0,0,0,2,31,-1,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.13-192.168.0.16-9020-52951-6,192.168.0.13,9020,192.168.0.16,52951,6,04/09/2019 02:57:30 PM,2628,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141.552511415525,1314.0,1274.2064196981587,2215.0,413.0,0.0,0.0,0.0,0.0,0.0,2628.0,1314.0,1274.2064196981587,2215.0,413.0,0,0,0,0,0,96,0.0,1141.552511415525,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,32768,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.16-203.205.142.177-55246-443-6,192.168.0.16,55246,203.205.142.177,443,6,04/09/2019 02:57:37 PM,30651350,12,11,1982.0,5826.0,751.0,0.0,165.16666666666669,274.8579247318126,1440.0,0.0,529.6363636363635,691.5704263091754,254.735925171322,0.7503747795774085,1393243.181818182,6321018.205715133,29687410.0,72.0,30595091.0,2781371.909090909,8943338.278911052,29740662.0,74.0,963863.0,96386.3,212215.06701878848,693928.0,72.0,0,0,0,0,240,256,0.3914998849969088,0.3588748945804997,0.0,1440.0,325.33333333333337,531.0584727214841,282023.10144927533,0,1,0,0,0,0,1,1,0.0,339.4782608695652,165.16666666666666,529.6363636363636,0,0,0,0,0,0,12,1982,11,5826,-1,142,5,0,963863.0,0.0,963863.0,963863.0,29687410.0,0.0,29687410.0,29687410.0,0
192.168.0.23-211.231.103.153-45380-5228-6,192.168.0.23,45380,211.231.103.153,5228,6,04/09/2019 02:58:26 PM,34771222,8,8,227.0,492.0,78.0,0.0,28.375,31.816157171205592,260.0,0.0,61.5,85.19725012329582,20.67801931148696,0.4601506383641046,2318081.4666666663,6994990.399638678,27275631.0,119.0,34765121.0,4966445.857142856,9990508.89459173,27383780.0,6064.0,33158641.0,4736948.714285714,10055309.595224664,27280029.0,119.0,0,1,0,0,256,256,0.2300753191820523,0.2300753191820523,0.0,260.0,45.52941176470588,62.44008893237062,3898.764705882352,0,0,0,1,1,0,0,0,1.0,48.375,28.375,61.5,0,0,0,0,0,0,8,227,8,492,-1,36,4,0,5878490.0,0.0,5878490.0,5878490.0,27275631.0,0.0,27275631.0,27275631.0,0
192.168.0.1-192.168.0.13-55700-52572-6,192.168.0.13,52572,192.168.0.1,55700,6,04/09/2019 02:56:57 PM,6031,2,5,580.0,488.0,580.0,0.0,290.0,410.1219330881976,488.0,0.0,97.6,218.24023460397947,177085.06052064334,1160.669872326314,1005.1666666666669,644.0923588016448,2004.0,75.0,820.0,820.0,0.0,820.0,820.0,6031.0,1507.75,1111.5131953032917,2672.0,75.0,0,0,0,0,64,176,331.61996352180404,829.0499088045101,0.0,580.0,133.5,248.41382524213216,61709.42857142857,0,1,0,0,0,0,0,0,2.0,152.57142857142858,290.0,97.6,0,0,0,0,0,0,2,580,5,488,-1,4344,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
164.124.101.2-192.168.0.24-53-42861-17,192.168.0.24,42861,164.124.101.2,53,17,04/09/2019 02:56:21 PM,5798,0,2,0.0,90.0,0.0,0.0,0.0,0.0,53.0,37.0,45.0,11.31370849898476,15522.59399793032,344.94653328734046,5798.0,0.0,5798.0,5798.0,0.0,0.0,0.0,0.0,0.0,5798.0,5798.0,0.0,5798.0,5798.0,0,0,0,0,0,16,0.0,344.94653328734046,37.0,53.0,42.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,0.0,63.5,0.0,45.0,0,0,0,0,0,0,0,0,2,90,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-223.39.118.176-59831-443-6,192.168.0.24,59831,223.39.118.176,443,6,04/09/2019 02:55:25 PM,4828378,3,1,37.0,0.0,37.0,0.0,12.333333333333332,21.361959960016154,0.0,0.0,0.0,0.0,7.663028868079508,0.8284355533058928,1609459.3333333335,2756268.741930353,4792063.0,1046.0,4793109.0,2396554.5,3387760.609480029,4792063.0,1046.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,20,0.6213266649794196,0.2071088883264732,0.0,37.0,7.4,16.546903033498445,273.8,0,0,0,0,1,0,0,0,0.0,9.25,12.333333333333334,0.0,0,0,0,0,0,0,3,37,1,0,-1,49640,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.24-23-11460-6,192.168.0.24,11460,192.168.0.13,23,6,04/09/2019 02:58:12 PM,227264,11,12,25.0,236.0,9.0,0.0,2.272727272727273,3.3193646708642635,122.0,0.0,19.666666666666668,34.56307365680981,1148.4441002534495,101.2038862292312,10330.181818181818,16762.016382388585,42439.0,23.0,225413.0,22541.300000000003,20725.38403906347,44039.0,2043.0,224440.0,20403.636363636364,21287.66628953361,44297.0,1797.0,0,0,0,0,220,264,48.40185863137145,52.80202759785976,0.0,122.0,10.875000000000002,25.63169318738374,656.983695652174,0,1,0,0,0,0,0,0,1.0,11.347826086956522,2.272727272727273,19.666666666666668,0,0,0,0,0,0,11,25,12,236,-1,256,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.16-9010-52996-6,192.168.0.16,52996,192.168.0.13,9010,6,04/09/2019 02:58:47 PM,2499,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.9603841536614,499.8,926.6178824089249,2157.0,73.0,2423.0,605.75,1034.4039749214685,2157.0,73.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,136,32,2000.8003201280512,400.1600640256103,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,-1,32766,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-27.102.104.70-34086-443-6,27.102.104.70,443,192.168.0.24,34086,6,04/09/2019 02:55:35 PM,1622849,1,5,0.0,351.0,0.0,0.0,0.0,0.0,245.0,0.0,70.2,101.24574065115036,216.2862965069455,3.697201649691376,324569.8,700502.5715125534,1577450.0,2524.0,0.0,0.0,0.0,0.0,0.0,1622849.0,405712.25,781269.7341411074,1577450.0,5243.0,0,1,0,0,20,160,0.6162002749485627,3.0810013747428133,0.0,245.0,57.71428571428572,86.73275868189268,7522.571428571428,0,0,0,1,1,0,0,0,5.0,67.33333333333333,0.0,70.2,0,0,0,0,0,0,1,0,5,351,-1,8170,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-211.188.147.64-42617-443-6,192.168.0.24,42617,211.188.147.64,443,6,04/09/2019 02:59:32 PM,211038,10,15,1145.0,11163.0,613.0,0.0,114.5,216.28851615890804,1460.0,0.0,744.1999999999999,657.6285534294525,58321.250201385534,118.46207791961638,8793.250000000002,29172.18360497905,142463.0,73.0,200385.0,22265.0,46058.70678818501,142463.0,417.0,211038.0,15074.142857142857,40836.71975046505,152333.0,73.0,0,0,0,0,200,324,47.38483116784655,71.07724675176982,0.0,1460.0,473.38461538461536,602.9218905910169,363514.8061538462,0,1,0,0,0,0,0,0,1.0,492.32,114.5,744.2,0,0,0,0,0,0,10,1145,15,11163,-1,32489,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.16-9010-52928-6,192.168.0.16,52928,192.168.0.13,9010,6,04/09/2019 02:55:01 PM,21355,6,8,384.0,298.0,192.0,0.0,64.0,99.14837366290988,149.0,0.0,37.25,68.97359743305509,31936.31468040272,655.5841723249824,1642.6923076923076,3505.031939574288,13236.0,258.0,20718.0,4143.6,7175.491362966023,16870.0,341.0,21355.0,3050.7142857142853,4618.433526434611,13236.0,410.0,0,0,0,0,204,284,280.96464528213534,374.6195270428472,0.0,192.0,45.46666666666668,78.88587295822335,6222.980952380954,0,1,0,0,0,0,1,1,1.0,48.71428571428572,64.0,37.25,0,0,0,0,0,0,6,384,8,298,-1,1869,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.16-211.231.99.76-55230-443-6,192.168.0.16,55230,211.231.99.76,443,6,04/09/2019 02:57:34 PM,91039,11,12,3029.0,6087.0,1460.0,0.0,275.3636363636364,445.6808886921836,1460.0,0.0,507.25,676.3339848705734,100132.91007150782,252.6389788991532,4138.136363636363,10699.968781865697,50530.0,74.0,28805.0,2880.5,3985.938708621708,11344.0,74.0,91039.0,8276.272727272728,14957.595602842785,50530.0,74.0,0,0,0,0,220,276,120.82733773437758,131.81164116477555,0.0,1460.0,379.8333333333333,570.1702771344155,325094.1449275362,0,1,0,0,0,0,1,1,1.0,396.3478260869565,275.3636363636364,507.25,0,0,0,0,0,0,11,3029,12,6087,-1,2474,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.23-211.231.101.141-34578-443-6,192.168.0.23,34578,211.231.101.141,443,6,04/09/2019 02:58:26 PM,48708,6,11,1634.0,4647.0,1109.0,0.0,272.33333333333337,432.5138918770895,1460.0,0.0,422.4545454545455,635.3887571615292,128952.12285456188,349.0186417015685,3044.2499999999995,3027.8760542664227,8740.0,75.0,27803.0,5560.6,4211.098170311398,10202.0,370.0,48708.0,4870.799999999999,5702.493856005264,16288.0,75.0,0,0,0,0,120,252,123.1830500123183,225.8355916892502,0.0,1460.0,348.94444444444446,552.4783170855424,305232.2908496731,0,1,0,0,0,0,0,0,1.0,369.4705882352941,272.3333333333333,422.45454545454544,0,0,0,0,0,0,6,1634,11,4647,-1,2560,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.13-192.168.0.16-9010-52943-6,192.168.0.13,9010,192.168.0.16,52943,6,04/09/2019 02:56:03 PM,77,1,1,0.0,414.0,0.0,0.0,0.0,0.0,414.0,414.0,414.0,0.0,5376623.376623376,25974.02597402597,77.0,0.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,32,32,12987.012987012988,12987.012987012988,0.0,414.0,276.0,239.02301144450507,57132.0,0,0,0,1,1,0,0,0,1.0,414.0,0.0,414.0,0,0,0,0,0,0,1,0,1,414,-1,1869,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.13-192.168.0.16-9010-52997-6,192.168.0.16,52997,192.168.0.13,9010,6,04/09/2019 02:58:49 PM,34871,7,7,576.0,149.0,192.0,0.0,82.28571428571428,102.62831689437095,149.0,0.0,21.285714285714285,56.31670647837485,20790.91508703507,401.47973961171175,2682.3846153846152,5710.913726343937,21340.0,75.0,7348.0,1224.6666666666663,1724.8103277365503,4035.0,75.0,34871.0,5811.833333333333,8133.3838079034895,21340.0,413.0,0,0,0,0,236,252,200.73986980585588,200.73986980585588,0.0,192.0,48.333333333333336,83.5597875490244,6982.238095238095,0,1,0,0,0,0,1,1,1.0,51.785714285714285,82.28571428571429,21.285714285714285,0,0,0,0,0,0,7,576,7,149,-1,1869,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-223.39.123.191-33844-443-6,192.168.0.24,33844,223.39.123.191,443,6,04/09/2019 02:57:11 PM,5760862,6,14,939.0,7102.0,805.0,0.0,156.5,322.188609357935,1460.0,0.0,507.2857142857142,621.359357014482,1395.7980593876405,3.4717026722736977,303203.2631578947,1204087.083583559,5260775.0,75.0,473230.0,94646.0,175231.6671595063,406703.0,1998.0,5760862.0,443143.2307692307,1452933.109120946,5263986.0,75.0,0,0,0,0,120,304,1.0415108016821093,2.4301918705915884,0.0,1460.0,382.9047619047619,557.1769830818484,310446.1904761905,0,1,0,0,0,0,0,0,2.0,402.05,156.5,507.2857142857143,0,0,0,0,0,0,6,939,14,7102,-1,26801,2,0,500011.0,0.0,500011.0,500011.0,5260775.0,0.0,5260775.0,5260775.0,1
192.168.0.13-192.168.0.24-23-11445-6,192.168.0.24,11445,192.168.0.13,23,6,04/09/2019 02:57:52 PM,10001204,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199975922898883,10001204.0,0.0,10001204.0,10001204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,0.0999879614494415,0.0999879614494415,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,256,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
