Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.13-210.89.164.90-6195-80-6,192.168.0.13,6195,210.89.164.90,80,6,25/07/2019 02:23:52 PM,3394840,4,1,20.0,0.0,20.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,5.891293845954449,1.4728234614886122,848710.0,1682789.2555878763,3372856.0,118.0,3393315.0,1131105.0,1941439.646739759,3372856.0,118.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,32,1.1782587691908897,0.2945646922977224,0.0,20.0,3.333333333333333,8.164965809277259,66.66666666666666,0,1,0,0,0,0,0,0,0.0,4.0,5.0,0.0,0,0,0,0,0,0,4,20,1,0,-1,64240,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.19-52.114.75.78-5816-443-6,192.168.0.19,5816,52.114.75.78,443,6,25/07/2019 02:23:55 PM,8149596,12,1,14270.0,0.0,1440.0,553.0,1189.1666666666663,380.6534652489855,0.0,0.0,0.0,0.0,1751.0070437847469,1.5951710980519769,679133.0,1610246.4717230543,5424931.0,73.0,2724665.0,247696.8181818181,628627.3197258959,2039113.0,73.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,240,20,1.4724656289710556,0.1227054690809213,0.0,1440.0,1019.2857142857144,555.9516343893772,309082.2197802198,0,0,0,0,1,0,0,0,0.0,1097.6923076923076,1189.1666666666667,0.0,0,0,0,0,0,0,12,14270,1,0,-1,1024,12,0,0.0,0.0,0.0,0.0,5424931.0,0.0,5424931.0,5424931.0,0
192.168.0.13-239.255.255.250-0-0-0,192.168.0.13,0,239.255.255.250,0,0,25/07/2019 02:23:00 PM,90102896,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044393689632351,30034298.666666668,54089.77386099273,30093091.0,29986646.0,60079737.0,30039868.5,75267.98132340205,30093091.0,29986646.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0332952672242632,0.0110984224080877,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,30034298.666666668,54089.77386099273,30093091.0,29986646.0,0
192.168.0.24-223.39.118.149-45732-443-6,192.168.0.24,45732,223.39.118.149,443,6,25/07/2019 02:25:29 PM,67544178,6,5,511.0,145.0,452.0,0.0,85.16666666666669,181.2538735218276,145.0,0.0,29.0,64.8459713474939,9.712162016391702,0.1628563752748608,6754417.8,21238192.83123452,67199052.0,129.0,67310408.0,13462081.6,30039905.32524899,67199052.0,1600.0,295080.0,73770.0,111891.12379749642,238166.0,129.0,0,0,0,0,192,176,0.0888307501499241,0.0740256251249367,0.0,452.0,54.66666666666666,132.4416395201595,17540.787878787876,0,1,0,0,0,0,0,0,0.0,59.63636363636363,85.16666666666667,29.0,0,0,0,0,0,0,6,511,5,145,-1,31,2,0,345126.0,0.0,345126.0,345126.0,67199052.0,0.0,67199052.0,67199052.0,0
192.168.0.16-203.119.129.77-56409-80-6,203.119.129.77,80,192.168.0.16,56409,6,25/07/2019 02:24:52 PM,2004,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.003992015968,2004.0,0.0,2004.0,2004.0,0.0,0.0,0.0,0.0,0.0,2004.0,2004.0,0.0,2004.0,2004.0,0,0,0,0,0,40,0.0,998.003992015968,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,2048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.13-210.89.164.90-5405-80-6,192.168.0.13,5405,210.89.164.90,80,6,25/07/2019 02:23:42 PM,4547,3,1,20.0,0.0,20.0,0.0,6.666666666666666,11.547005383792516,0.0,0.0,0.0,0.0,4398.504508467121,879.7009016934243,1515.6666666666667,1980.9281494626032,3795.0,210.0,4005.0,2002.5,2534.977810553773,3795.0,210.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,32,659.7756762700682,219.92522542335607,0.0,20.0,4.0,8.94427190999916,80.0,0,1,0,0,0,0,0,0,0.0,5.0,6.666666666666667,0.0,0,0,0,0,0,0,3,20,1,0,-1,64240,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.16-106.15.15.14-56380-80-6,192.168.0.16,56380,106.15.15.14,80,6,25/07/2019 02:22:54 PM,74,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27027.027027027027,74.0,0.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,13513.513513513511,13513.513513513511,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.33-239.255.255.250-52759-1900-17,192.168.0.33,52759,239.255.255.250,1900,17,25/07/2019 02:25:57 PM,3010314,14,1,2450.0,175.0,175.0,175.0,175.0,0.0,175.0,175.0,175.0,0.0,872.0020569282806,4.982868896733032,215022.4285714285,418942.2688312728,1000260.0,265.0,3009142.0,231472.4615384616,431317.1945308185,1000260.0,265.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,112,8,4.65067763695083,0.3321912597822021,175.0,175.0,175.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,186.66666666666663,175.0,175.0,0,0,0,0,0,0,14,2450,1,175,-1,-1,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.13-210.89.164.90-5521-80-6,192.168.0.13,5521,210.89.164.90,80,6,25/07/2019 02:23:36 PM,4030970,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4961584928689621,4030970.0,0.0,4030970.0,4030970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,0.248079246434481,0.248079246434481,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,256,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.19-23.43.11.27-6015-80-6,192.168.0.19,6015,23.43.11.27,80,6,25/07/2019 02:25:06 PM,84827794,2,1,0.0,314.0,0.0,0.0,0.0,0.0,314.0,314.0,314.0,0.0,3.70161694880336,0.0353657670267837,42413897.0,59494690.36261641,84482996.0,344798.0,84482996.0,84482996.0,0.0,84482996.0,84482996.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,40,20,0.0235771780178558,0.0117885890089279,0.0,314.0,157.0,181.2879845255425,32865.333333333336,0,0,0,1,1,0,0,0,0.0,209.3333333333333,0.0,314.0,0,0,0,0,0,0,2,0,1,314,-1,256,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
