Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.13-210.89.164.90-5121-80-6,192.168.0.13,5121,210.89.164.90,80,6,25/07/2019 02:23:28 PM,2333531,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8570702510487327,2333531.0,0.0,2333531.0,2333531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,0.4285351255243663,0.4285351255243663,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-210.89.164.90-5766-80-6,192.168.0.13,5766,210.89.164.90,80,6,25/07/2019 02:23:41 PM,7781761,4,1,20.0,0.0,20.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,2.570112343465701,0.6425280858664253,1945440.25,3885323.5948667456,7773424.0,192.0,7780471.0,2593490.333333333,4485955.3823229605,7773424.0,192.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,32,0.5140224686931403,0.128505617173285,0.0,20.0,3.333333333333333,8.164965809277259,66.66666666666666,0,1,0,0,0,0,0,0,0.0,4.0,5.0,0.0,0,0,0,0,0,0,4,20,1,0,-1,64240,1,0,8337.0,0.0,8337.0,8337.0,7773424.0,0.0,7773424.0,7773424.0,1
192.168.0.13-210.89.164.90-6143-80-6,192.168.0.13,6143,210.89.164.90,80,6,25/07/2019 02:23:53 PM,2429539,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.234802157940251,1214769.5,1717332.5617982382,2429107.0,432.0,2429107.0,2429107.0,0.0,2429107.0,2429107.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,0.8232014386268341,0.4116007193134171,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-210.89.164.90-6168-80-6,192.168.0.13,6168,210.89.164.90,80,6,25/07/2019 02:23:50 PM,4918395,3,1,20.0,0.0,20.0,0.0,6.666666666666666,11.547005383792516,0.0,0.0,0.0,0.0,4.0663671787239535,0.8132734357447907,1639465.0,2838275.363199984,4916823.0,121.0,4916944.0,2458472.0,3476633.3252734607,4916823.0,121.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,32,0.609955076808593,0.2033183589361976,0.0,20.0,4.0,8.94427190999916,80.0,0,1,0,0,0,0,0,0,0.0,5.0,6.666666666666667,0.0,0,0,0,0,0,0,3,20,1,0,-1,64240,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-210.89.164.90-5819-80-6,192.168.0.13,5819,210.89.164.90,80,6,25/07/2019 02:23:42 PM,5526,2,1,20.0,0.0,20.0,0.0,10.0,14.142135623730953,0.0,0.0,0.0,0.0,3619.2544335866814,542.8881650380022,2763.0,3630.286214611735,5330.0,196.0,196.0,196.0,0.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,32,361.9254433586681,180.96272167933407,0.0,20.0,5.0,10.0,100.0,0,1,0,0,0,0,0,0,0.0,6.666666666666667,10.0,0.0,0,0,0,0,0,0,2,20,1,0,-1,64240,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-13.228.233.32-56361-6000-17,13.228.233.32,6000,192.168.0.13,56361,17,25/07/2019 02:26:49 PM,25120480,1,2,44.0,152.0,44.0,44.0,44.0,0.0,76.0,76.0,76.0,0.0,7.802398680279994,0.1194244695961223,12560240.0,17633550.309158336,25029043.0,91437.0,0.0,0.0,0.0,0.0,0.0,25029043.0,25029043.0,0.0,25029043.0,25029043.0,0,0,0,0,8,16,0.0398081565320407,0.0796163130640815,44.0,76.0,68.0,16.0,256.0,0,0,0,0,0,0,0,0,2.0,90.66666666666669,44.0,76.0,0,0,0,0,0,0,1,44,2,152,-1,-1,1,0,0.0,0.0,0.0,0.0,25029043.0,0.0,25029043.0,25029043.0,0
192.168.0.13-210.89.164.90-5727-80-6,192.168.0.13,5727,210.89.164.90,80,6,25/07/2019 02:23:40 PM,309671,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.458467211976582,309671.0,0.0,309671.0,309671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,3.229233605988291,3.229233605988291,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,256,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-210.89.164.90-5682-80-6,192.168.0.13,5682,210.89.164.90,80,6,25/07/2019 02:23:39 PM,1129920,3,1,20.0,0.0,20.0,0.0,6.666666666666666,11.547005383792516,0.0,0.0,0.0,0.0,17.700368167657885,3.540073633531577,376640.0,651237.4353620958,1128624.0,153.0,1128777.0,564388.5,797949.4964723645,1128624.0,153.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,32,2.655055225148683,0.8850184083828944,0.0,20.0,4.0,8.94427190999916,80.0,0,1,0,0,0,0,0,0,0.0,5.0,6.666666666666667,0.0,0,0,0,0,0,0,3,20,1,0,-1,64240,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-210.89.164.90-5551-80-6,192.168.0.13,5551,210.89.164.90,80,6,25/07/2019 02:23:37 PM,3468034,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5766956148642142,3468034.0,0.0,3468034.0,3468034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,0.2883478074321071,0.2883478074321071,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.19-104.76.78.143-5643-443-6,192.168.0.19,5643,104.76.78.143,443,6,25/07/2019 02:22:50 PM,17591948,13,1,11006.0,0.0,1460.0,0.0,846.6153846153845,687.0876385708907,0.0,0.0,0.0,0.0,625.6271335044875,0.7958186324789046,1353226.7692307692,4180685.280516185,15235055.0,74.0,16905271.0,1408772.5833333333,4361570.196117479,15235055.0,74.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,260,20,0.7389744444446972,0.0568441880342074,0.0,1460.0,733.7333333333335,702.4168956097903,493389.4952380951,0,0,0,0,1,0,0,0,0.0,786.1428571428571,846.6153846153846,0.0,0,0,0,0,0,0,13,11006,1,0,-1,1024,9,0,2356893.0,0.0,2356893.0,2356893.0,15235055.0,0.0,15235055.0,15235055.0,0
