Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.24-210.89.164.90-55053-80-6,192.168.0.24,55053,210.89.164.90,80,6,25/07/2019 02:20:13 PM,21869,2,1,20.0,0.0,20.0,0.0,10.0,14.142135623730953,0.0,0.0,0.0,0.0,914.53655859893,137.1804837898395,10934.5,12004.551824204018,19423.0,2446.0,19423.0,19423.0,0.0,19423.0,19423.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,32,91.453655859893,45.7268279299465,0.0,20.0,5.0,10.0,100.0,0,1,0,0,0,0,0,0,0.0,6.666666666666667,10.0,0.0,0,0,0,0,0,0,2,20,1,0,-1,64240,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-210.89.164.90-61775-80-6,192.168.0.24,61775,210.89.164.90,80,6,25/07/2019 02:20:37 PM,615,1,1,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,32520.325203252032,3252.032520325203,615.0,0.0,615.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,1626.0162601626016,1626.0162601626016,0.0,20.0,6.666666666666667,11.547005383792516,133.33333333333334,0,0,0,0,1,0,0,0,1.0,10.0,20.0,0.0,0,0,0,0,0,0,1,20,1,0,-1,256,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-210.89.164.90-55074-80-6,192.168.0.24,55074,210.89.164.90,80,6,25/07/2019 02:20:13 PM,7167,1,1,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,2790.567880563695,279.0567880563695,7167.0,0.0,7167.0,7167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,139.52839402818475,139.52839402818475,0.0,20.0,6.666666666666667,11.547005383792516,133.33333333333334,0,1,0,0,0,0,0,0,1.0,10.0,20.0,0.0,0,0,0,0,0,0,1,20,1,0,-1,64240,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
134.221.96.10-120.176.0.123-0-0-0,134.221.96.10,0,120.176.0.123,0,0,25/07/2019 02:21:20 PM,225,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8888.888888888889,225.0,0.0,225.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4444.444444444444,4444.444444444444,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-210.89.164.90-55130-80-6,192.168.0.24,55130,210.89.164.90,80,6,25/07/2019 02:20:14 PM,13419,3,1,20.0,0.0,20.0,0.0,6.666666666666666,11.547005383792516,0.0,0.0,0.0,0.0,1490.4240256352932,298.08480512705864,4473.0,5361.309821303,10607.0,682.0,11289.0,5644.5,7018.034803276484,10607.0,682.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,32,223.563603845294,74.52120128176466,0.0,20.0,4.0,8.94427190999916,80.0,0,1,0,0,0,0,0,0,0.0,5.0,6.666666666666667,0.0,0,0,0,0,0,0,3,20,1,0,-1,64240,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.19-217.146.11.108-5166-443-6,192.168.0.19,5166,217.146.11.108,443,6,25/07/2019 02:20:37 PM,2432,3,1,103.0,0.0,37.0,29.0,34.333333333333336,4.618802153517006,0.0,0.0,0.0,0.0,42351.97368421053,1644.7368421052631,810.6666666666667,629.3364230150146,1415.0,159.0,1017.0,508.5,494.26764004939673,858.0,159.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,20,1233.5526315789473,411.1842105263158,0.0,37.0,20.6,19.086644545335883,364.3,0,0,0,0,1,0,0,0,0.0,25.75,34.333333333333336,0.0,0,0,0,0,0,0,3,103,1,0,-1,256,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.19-37.252.244.142-5021-443-6,192.168.0.19,5021,37.252.244.142,443,6,25/07/2019 02:19:57 PM,13356,3,1,103.0,0.0,37.0,29.0,34.333333333333336,4.618802153517006,0.0,0.0,0.0,0.0,7711.889787361486,299.4908655286014,4452.0,2613.625068750298,6426.0,1488.0,6930.0,3465.0,2795.900212811609,5442.0,1488.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,32,224.61814914645103,74.87271638215034,0.0,37.0,20.6,19.086644545335883,364.3,0,1,0,0,0,0,0,0,0.0,25.75,34.333333333333336,0.0,0,0,0,0,0,0,3,103,1,0,-1,64240,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.16-54.230.182.63-56340-443-6,192.168.0.16,56340,54.230.182.63,443,6,25/07/2019 02:20:48 PM,1381620,24,15,16146.0,5168.0,1448.0,0.0,672.7500000000001,699.160879041876,1448.0,0.0,344.5333333333334,547.0690563182609,15426.817793604609,28.22773266165805,36358.42105263157,91338.9038686475,465267.0,72.0,1185681.0,51551.34782608696,144558.8959709089,675687.0,72.0,1266236.0,90445.42857142858,145958.550570788,465267.0,72.0,0,0,0,0,780,520,17.370912407174185,10.856820254483866,0.0,1448.0,532.8499999999999,654.7378629885164,428681.6692307693,0,1,0,0,0,0,1,1,0.0,546.5128205128206,672.75,344.53333333333336,0,0,0,0,0,0,24,16146,15,5168,-1,265,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
168.1.114.4-192.168.0.19-80-5025-6,192.168.0.19,5025,168.1.114.4,80,6,25/07/2019 02:19:58 PM,674207,1,1,128.0,0.0,128.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,189.8526713605762,2.966447990009004,674207.0,0.0,674207.0,674207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,1.4832239950045016,1.4832239950045016,0.0,128.0,42.66666666666666,73.9008344562721,5461.333333333333,0,1,0,0,0,0,0,0,1.0,64.0,128.0,0.0,0,0,0,0,0,0,1,128,1,0,-1,64240,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-210.89.164.90-59438-80-6,192.168.0.24,59438,210.89.164.90,80,6,25/07/2019 02:20:28 PM,34056,2,1,20.0,0.0,20.0,0.0,10.0,14.142135623730953,0.0,0.0,0.0,0.0,587.2680291284942,88.09020436927413,17028.0,13340.276533865406,26461.0,7595.0,26461.0,26461.0,0.0,26461.0,26461.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,32,58.72680291284942,29.36340145642471,0.0,20.0,5.0,10.0,100.0,0,1,0,0,0,0,0,0,0.0,6.666666666666667,10.0,0.0,0,0,0,0,0,0,2,20,1,0,-1,64240,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
