Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.13-210.89.164.90-5270-80-6,192.168.0.13,5270,210.89.164.90,80,6,25/07/2019 02:23:31 PM,3805688,3,1,20.0,0.0,20.0,0.0,6.666666666666666,11.547005383792516,0.0,0.0,0.0,0.0,5.255291553064781,1.0510583106129563,1268562.6666666667,2194551.5366804064,3802612.0,149.0,3805539.0,1902769.5,2686783.0298728067,3802612.0,2927.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,20,0.7882937329597172,0.2627645776532391,0.0,20.0,4.0,8.94427190999916,80.0,0,0,0,0,1,0,0,0,0.0,5.0,6.666666666666667,0.0,0,0,0,0,0,0,3,20,1,0,-1,256,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-210.89.164.90-5255-80-6,192.168.0.13,5255,210.89.164.90,80,6,25/07/2019 02:23:30 PM,4099555,3,1,20.0,0.0,20.0,0.0,6.666666666666666,11.547005383792516,0.0,0.0,0.0,0.0,4.878578284716268,0.9757156569432536,1366518.3333333333,2364123.0459128674,4096372.0,179.0,4096551.0,2048275.5,2896445.8473488674,4096372.0,179.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,32,0.7317867427074403,0.2439289142358134,0.0,20.0,4.0,8.94427190999916,80.0,0,1,0,0,0,0,0,0,0.0,5.0,6.666666666666667,0.0,0,0,0,0,0,0,3,20,1,0,-1,64240,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-210.89.164.90-4973-80-6,192.168.0.13,4973,210.89.164.90,80,6,25/07/2019 02:23:24 PM,1446893,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3822722205442974,1446893.0,0.0,1446893.0,1446893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,0.6911361102721487,0.6911361102721487,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-210.89.164.90-6039-80-6,192.168.0.13,6039,210.89.164.90,80,6,25/07/2019 02:23:48 PM,181476,4,1,20.0,0.0,20.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,110.20741034627169,27.55185258656792,45369.0,52271.584964172136,101973.0,197.0,179817.0,59939.0,53148.551174985005,101973.0,197.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,32,22.041482069254336,5.510370517313584,0.0,20.0,3.333333333333333,8.164965809277259,66.66666666666666,0,1,0,0,0,0,0,0,0.0,4.0,5.0,0.0,0,0,0,0,0,0,4,20,1,0,-1,64240,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.16-17.42.254.11-56383-443-6,17.42.254.11,443,192.168.0.16,56383,6,25/07/2019 02:24:26 PM,8725,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.8395415472779,4362.5,5996.97261124311,8603.0,122.0,0.0,0.0,0.0,0.0,0.0,8725.0,4362.5,5996.97261124311,8603.0,122.0,0,0,0,0,0,60,0.0,343.8395415472779,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.19-217.146.12.137-5918-80-6,192.168.0.19,5918,217.146.12.137,80,6,25/07/2019 02:24:30 PM,366812,1,1,128.0,0.0,128.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,348.95259697065524,5.452384327666488,366812.0,0.0,366812.0,366812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,2.726192163833244,2.726192163833244,0.0,128.0,42.66666666666666,73.9008344562721,5461.333333333333,0,1,0,0,0,0,0,0,1.0,64.0,128.0,0.0,0,0,0,0,0,0,1,128,1,0,-1,64240,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.16-13.250.217.66-56400-443-6,13.250.217.66,443,192.168.0.16,56400,6,25/07/2019 02:25:26 PM,72,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,430555.5555555556,27777.777777777777,72.0,0.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,32,32,13888.888888888889,13888.888888888889,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,127,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-223.39.123.191-40021-443-6,223.39.123.191,443,192.168.0.24,40021,6,25/07/2019 02:25:16 PM,5527,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.8599601954044,5527.0,0.0,5527.0,5527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,180.92998009770216,180.92998009770216,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,9700,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.19-213.227.167.133-5631-5938-6,192.168.0.19,5631,213.227.167.133,5938,6,25/07/2019 02:22:46 PM,3001215,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6663967759723978,3001215.0,0.0,3001215.0,3001215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.3331983879861989,0.3331983879861989,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.13-210.89.164.90-5025-80-6,192.168.0.13,5025,210.89.164.90,80,6,25/07/2019 02:23:25 PM,405770,4,1,20.0,0.0,20.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,49.28900608719225,12.322251521798062,101442.5,156708.83552520792,330811.0,207.0,404487.0,134829.0,173633.3447353935,330811.0,207.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,32,9.85780121743845,2.4644503043596124,0.0,20.0,3.333333333333333,8.164965809277259,66.66666666666666,0,1,0,0,0,0,0,0,0.0,4.0,5.0,0.0,0,0,0,0,0,0,4,20,1,0,-1,64240,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
