Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.13-192.168.0.15-1091-33306-6,192.168.0.15,33306,192.168.0.13,1091,6,11/07/2019 12:12:30 PM,10357,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.10611180843875,10357.0,0.0,10357.0,10357.0,0.0,0.0,0.0,0.0,0.0,10357.0,10357.0,0.0,10357.0,10357.0,0,0,0,0,0,44,0.0,193.10611180843875,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-3371-33306-6,192.168.0.15,33306,192.168.0.13,3371,6,11/07/2019 12:12:29 PM,16977,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.80644401248747,16977.0,0.0,16977.0,16977.0,0.0,0.0,0.0,0.0,0.0,16977.0,16977.0,0.0,16977.0,16977.0,0,0,0,0,0,44,0.0,117.80644401248747,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-6112-33306-6,192.168.0.15,33306,192.168.0.13,6112,6,11/07/2019 12:12:29 PM,13432,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.89815366289457,13432.0,0.0,13432.0,13432.0,0.0,0.0,0.0,0.0,0.0,13432.0,13432.0,0.0,13432.0,13432.0,0,0,0,0,0,44,0.0,148.89815366289457,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-1248-33306-6,192.168.0.15,33306,192.168.0.13,1248,6,11/07/2019 12:12:30 PM,16128,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0079365079365,16128.0,0.0,16128.0,16128.0,0.0,0.0,0.0,0.0,0.0,16128.0,16128.0,0.0,16128.0,16128.0,0,0,0,0,0,44,0.0,124.0079365079365,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-9575-33306-6,192.168.0.15,33306,192.168.0.13,9575,6,11/07/2019 12:12:30 PM,12143,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.70394465947462,12143.0,0.0,12143.0,12143.0,0.0,0.0,0.0,0.0,0.0,12143.0,12143.0,0.0,12143.0,12143.0,0,0,0,0,0,44,0.0,164.70394465947462,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-50300-33306-6,192.168.0.15,33306,192.168.0.13,50300,6,11/07/2019 12:12:29 PM,12407,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.19932296284355,12407.0,0.0,12407.0,12407.0,0.0,0.0,0.0,0.0,0.0,12407.0,12407.0,0.0,12407.0,12407.0,0,0,0,0,0,44,0.0,161.19932296284355,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-1021-33306-6,192.168.0.15,33306,192.168.0.13,1021,6,11/07/2019 12:12:30 PM,14153,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.31279587366635,14153.0,0.0,14153.0,14153.0,0.0,0.0,0.0,0.0,0.0,14153.0,14153.0,0.0,14153.0,14153.0,0,0,0,0,0,44,0.0,141.31279587366635,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-11967-33306-6,192.168.0.15,33306,192.168.0.13,11967,6,11/07/2019 12:12:30 PM,10987,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0333120961136,10987.0,0.0,10987.0,10987.0,0.0,0.0,0.0,0.0,0.0,10987.0,10987.0,0.0,10987.0,10987.0,0,0,0,0,0,44,0.0,182.0333120961136,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-163-33306-6,192.168.0.15,33306,192.168.0.13,163,6,11/07/2019 12:12:29 PM,14819,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.961873270801,14819.0,0.0,14819.0,14819.0,0.0,0.0,0.0,0.0,0.0,14819.0,14819.0,0.0,14819.0,14819.0,0,0,0,0,0,44,0.0,134.961873270801,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-2049-33306-6,192.168.0.15,33306,192.168.0.13,2049,6,11/07/2019 12:12:30 PM,2740,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.890510948905,1370.0,520.430590953299,1738.0,1002.0,0.0,0.0,0.0,0.0,0.0,2740.0,1370.0,520.430590953299,1738.0,1002.0,0,0,0,0,0,64,0.0,1094.890510948905,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-4550-33306-6,192.168.0.15,33306,192.168.0.13,4550,6,11/07/2019 12:12:30 PM,6039,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.1806590495115,6039.0,0.0,6039.0,6039.0,0.0,0.0,0.0,0.0,0.0,6039.0,6039.0,0.0,6039.0,6039.0,0,0,0,0,0,44,0.0,331.1806590495115,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-3527-33306-6,192.168.0.15,33306,192.168.0.13,3527,6,11/07/2019 12:12:29 PM,11606,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.32465965879717,11606.0,0.0,11606.0,11606.0,0.0,0.0,0.0,0.0,0.0,11606.0,11606.0,0.0,11606.0,11606.0,0,0,0,0,0,44,0.0,172.32465965879717,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
