Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.13-192.168.0.15-5859-43074-6,192.168.0.15,43074,192.168.0.13,5859,6,11/07/2019 12:22:04 PM,16932,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.1793054571226,8466.0,6273.451362687049,12902.0,4030.0,0.0,0.0,0.0,0.0,0.0,16932.0,16932.0,0.0,16932.0,16932.0,0,0,0,0,24,44,59.05976848570754,118.11953697141507,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-1311-43074-6,192.168.0.15,43074,192.168.0.13,1311,6,11/07/2019 12:22:04 PM,10895,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.5704451583295,10895.0,0.0,10895.0,10895.0,0.0,0.0,0.0,0.0,0.0,10895.0,10895.0,0.0,10895.0,10895.0,0,0,0,0,0,44,0.0,183.5704451583295,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-1721-43074-6,192.168.0.15,43074,192.168.0.13,1721,6,11/07/2019 12:22:04 PM,7018,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.9814762040467,7018.0,0.0,7018.0,7018.0,0.0,0.0,0.0,0.0,0.0,7018.0,7018.0,0.0,7018.0,7018.0,0,0,0,0,0,44,0.0,284.9814762040467,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-1524-43074-6,192.168.0.15,43074,192.168.0.13,1524,6,11/07/2019 12:22:04 PM,28244,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.02874946891376,7061.0,8499.588970454199,19784.0,2132.0,5601.0,2800.5,945.401766446414,3469.0,2132.0,28244.0,28244.0,0.0,28244.0,28244.0,0,0,0,0,72,44,106.21724968134826,70.81149978756551,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-1121-43074-6,192.168.0.15,43074,192.168.0.13,1121,6,11/07/2019 12:22:04 PM,10989,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.000182000182,10989.0,0.0,10989.0,10989.0,0.0,0.0,0.0,0.0,0.0,10989.0,10989.0,0.0,10989.0,10989.0,0,0,0,0,0,44,0.0,182.000182000182,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-1110-43074-6,192.168.0.15,43074,192.168.0.13,1110,6,11/07/2019 12:22:04 PM,26075,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.75455417066155,6518.75,7189.696023940558,17300.0,2727.0,5885.0,2942.5,304.763022691402,3158.0,2727.0,26075.0,26075.0,0.0,26075.0,26075.0,0,0,0,0,72,44,115.05273250239692,76.70182166826461,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-340-43074-6,192.168.0.15,43074,192.168.0.13,340,6,11/07/2019 12:22:04 PM,12077,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.8121222157821,2415.4,860.3948512165796,3575.0,1498.0,6485.0,2161.6666666666665,795.1668587996694,3043.0,1498.0,12077.0,12077.0,0.0,12077.0,12077.0,0,0,0,0,96,44,331.20808147718805,165.60404073859402,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-1352-43075-6,192.168.0.15,43075,192.168.0.13,1352,6,11/07/2019 12:22:05 PM,13683,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.16677629174887,13683.0,0.0,13683.0,13683.0,0.0,0.0,0.0,0.0,0.0,13683.0,13683.0,0.0,13683.0,13683.0,0,0,0,0,0,44,0.0,146.16677629174887,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-2557-43074-6,192.168.0.15,43074,192.168.0.13,2557,6,11/07/2019 12:22:04 PM,26097,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.5929033988581,6524.25,4670.0729027143325,13379.0,3073.0,7288.0,3644.0,807.5159441150373,4215.0,3073.0,26097.0,26097.0,0.0,26097.0,26097.0,0,0,0,0,72,44,114.95574203931488,76.63716135954324,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-192.168.0.15-11110-43074-6,192.168.0.15,43074,192.168.0.13,11110,6,11/07/2019 12:22:04 PM,22795,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.2156174599693,4559.0,5465.86292363795,14316.0,1749.0,6164.0,2054.6666666666665,475.9142079548932,2603.0,1749.0,22795.0,22795.0,0.0,22795.0,22795.0,0,0,0,0,96,44,175.4770783066462,87.7385391533231,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
