Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.13-111.123.25.229-554-7576-6,111.123.25.229,7576,192.168.0.13,554,6,27/05/2019 09:20:39 AM,1598,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251.564455569462,1598.0,0.0,1598.0,1598.0,0.0,0.0,0.0,0.0,0.0,1598.0,1598.0,0.0,1598.0,1598.0,0,0,0,0,0,44,0.0,1251.564455569462,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.33.119.173-554-8374-6,111.33.119.173,8374,192.168.0.13,554,6,27/05/2019 09:20:36 AM,3270,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.6207951070337,3270.0,0.0,3270.0,3270.0,0.0,0.0,0.0,0.0,0.0,3270.0,3270.0,0.0,3270.0,3270.0,0,0,0,0,0,44,0.0,611.6207951070337,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.167.143.208-554-5891-6,111.167.143.208,5891,192.168.0.13,554,6,27/05/2019 09:20:34 AM,2626,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.6146230007616,2626.0,0.0,2626.0,2626.0,0.0,0.0,0.0,0.0,0.0,2626.0,2626.0,0.0,2626.0,2626.0,0,0,0,0,0,44,0.0,761.6146230007616,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.172.128.48-554-8251-6,111.172.128.48,8251,192.168.0.13,554,6,27/05/2019 09:20:32 AM,2918,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.101439342015,1459.0,220.6173157302028,1615.0,1303.0,0.0,0.0,0.0,0.0,0.0,2918.0,2918.0,0.0,2918.0,2918.0,0,0,0,0,20,44,342.7004797806717,685.4009595613434,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.174.245.19-554-4575-6,111.174.245.19,4575,192.168.0.13,554,6,27/05/2019 09:20:33 AM,3117,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.6426050689765,3117.0,0.0,3117.0,3117.0,0.0,0.0,0.0,0.0,0.0,3117.0,3117.0,0.0,3117.0,3117.0,0,0,0,0,0,44,0.0,641.6426050689765,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.56.5.113-554-2577-6,111.56.5.113,2577,192.168.0.13,554,6,27/05/2019 09:20:42 AM,1797,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.9660545353368,1797.0,0.0,1797.0,1797.0,0.0,0.0,0.0,0.0,0.0,1797.0,1797.0,0.0,1797.0,1797.0,0,0,0,0,0,44,0.0,1112.9660545353368,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.32.72.62-554-8044-6,111.32.72.62,8044,192.168.0.13,554,6,27/05/2019 09:20:41 AM,2568,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.816199376947,2568.0,0.0,2568.0,2568.0,0.0,0.0,0.0,0.0,0.0,2568.0,2568.0,0.0,2568.0,2568.0,0,0,0,0,0,44,0.0,778.816199376947,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.36.185.203-554-1710-6,111.36.185.203,1710,192.168.0.13,554,6,27/05/2019 09:20:40 AM,1442,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386.9625520110958,1442.0,0.0,1442.0,1442.0,0.0,0.0,0.0,0.0,0.0,1442.0,1442.0,0.0,1442.0,1442.0,0,0,0,0,0,44,0.0,1386.9625520110958,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.167.253.66-554-5489-6,111.167.253.66,5489,192.168.0.13,554,6,27/05/2019 09:20:42 AM,3363,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.7071067499256,3363.0,0.0,3363.0,3363.0,0.0,0.0,0.0,0.0,0.0,3363.0,3363.0,0.0,3363.0,3363.0,0,0,0,0,0,44,0.0,594.7071067499256,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.132.145.155-554-3955-6,111.132.145.155,3955,192.168.0.13,554,6,27/05/2019 09:20:40 AM,9489,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.77036568658448,9489.0,0.0,9489.0,9489.0,0.0,0.0,0.0,0.0,0.0,9489.0,9489.0,0.0,9489.0,9489.0,0,0,0,0,0,44,0.0,210.77036568658448,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
