Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.13-111.129.149.12-554-4115-6,111.129.149.12,4115,192.168.0.13,554,6,27/05/2019 09:20:42 AM,2545,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.8546168958743,2545.0,0.0,2545.0,2545.0,0.0,0.0,0.0,0.0,0.0,2545.0,2545.0,0.0,2545.0,2545.0,0,0,0,0,0,44,0.0,785.8546168958743,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.193.223.34-554-2094-6,111.193.223.34,2094,192.168.0.13,554,6,27/05/2019 09:20:40 AM,13301,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.54695135704085,6650.5,5830.095410883085,10773.0,2528.0,0.0,0.0,0.0,0.0,0.0,13301.0,6650.5,5830.095410883085,10773.0,2528.0,0,0,0,0,0,68,0.0,225.54695135704085,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.145.130.55-554-4129-6,111.145.130.55,4129,192.168.0.13,554,6,27/05/2019 09:20:39 AM,2866,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.8367062107467,2866.0,0.0,2866.0,2866.0,0.0,0.0,0.0,0.0,0.0,2866.0,2866.0,0.0,2866.0,2866.0,0,0,0,0,0,44,0.0,697.8367062107467,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.107.123.139-554-8869-6,111.107.123.139,8869,192.168.0.13,554,6,27/05/2019 09:20:35 AM,2037,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.8360333824252,2037.0,0.0,2037.0,2037.0,0.0,0.0,0.0,0.0,0.0,2037.0,2037.0,0.0,2037.0,2037.0,0,0,0,0,0,44,0.0,981.8360333824252,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.65.149.62-554-8659-6,111.65.149.62,8659,192.168.0.13,554,6,27/05/2019 09:20:36 AM,3178,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.3266205160479,3178.0,0.0,3178.0,3178.0,0.0,0.0,0.0,0.0,0.0,3178.0,3178.0,0.0,3178.0,3178.0,0,0,0,0,0,44,0.0,629.3266205160479,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.216.46.10-554-4855-6,111.216.46.10,4855,192.168.0.13,554,6,27/05/2019 09:20:42 AM,2264,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.3922261484099,2264.0,0.0,2264.0,2264.0,0.0,0.0,0.0,0.0,0.0,2264.0,2264.0,0.0,2264.0,2264.0,0,0,0,0,0,44,0.0,883.3922261484099,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.107.165.105-554-6003-6,111.107.165.105,6003,192.168.0.13,554,6,27/05/2019 09:20:37 AM,1230,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1626.0162601626016,1230.0,0.0,1230.0,1230.0,0.0,0.0,0.0,0.0,0.0,1230.0,1230.0,0.0,1230.0,1230.0,0,0,0,0,0,44,0.0,1626.0162601626016,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.158.208.20-554-6514-6,111.158.208.20,6514,192.168.0.13,554,6,27/05/2019 09:20:39 AM,2919,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.166152792052,2919.0,0.0,2919.0,2919.0,0.0,0.0,0.0,0.0,0.0,2919.0,2919.0,0.0,2919.0,2919.0,0,0,0,0,0,44,0.0,685.166152792052,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.1.19.224-554-1658-6,111.1.19.224,1658,192.168.0.13,554,6,27/05/2019 09:20:41 AM,4107,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.97345994643285,4107.0,0.0,4107.0,4107.0,0.0,0.0,0.0,0.0,0.0,4107.0,4107.0,0.0,4107.0,4107.0,0,0,0,0,0,44,0.0,486.97345994643285,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.171.60.190-554-6980-6,111.171.60.190,6980,192.168.0.13,554,6,27/05/2019 09:20:36 AM,1862,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.1138560687434,1862.0,0.0,1862.0,1862.0,0.0,0.0,0.0,0.0,0.0,1862.0,1862.0,0.0,1862.0,1862.0,0,0,0,0,0,44,0.0,1074.1138560687434,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
