Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.24-111.62.122.203-19604-3028-6,111.62.122.203,3028,192.168.0.24,19604,6,05/06/2019 10:34:16 AM,3646,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.5463521667581,3646.0,0.0,3646.0,3646.0,0.0,0.0,0.0,0.0,0.0,3646.0,3646.0,0.0,3646.0,3646.0,0,0,0,0,0,40,0.0,548.5463521667581,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.11.31.85-19604-3520-6,111.11.31.85,3520,192.168.0.24,19604,6,05/06/2019 10:34:12 AM,1587,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.239445494644,1587.0,0.0,1587.0,1587.0,0.0,0.0,0.0,0.0,0.0,1587.0,1587.0,0.0,1587.0,1587.0,0,0,0,0,0,40,0.0,1260.239445494644,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.104.53.26-19604-7721-6,111.104.53.26,7721,192.168.0.24,19604,6,05/06/2019 10:34:29 AM,3397,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.7547836326171,3397.0,0.0,3397.0,3397.0,0.0,0.0,0.0,0.0,0.0,3397.0,3397.0,0.0,3397.0,3397.0,0,0,0,0,0,40,0.0,588.7547836326171,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.225.231.103-19604-2234-6,111.225.231.103,2234,192.168.0.24,19604,6,05/06/2019 10:34:15 AM,1346,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1485.8841010401188,1346.0,0.0,1346.0,1346.0,0.0,0.0,0.0,0.0,0.0,1346.0,1346.0,0.0,1346.0,1346.0,0,0,0,0,0,40,0.0,1485.8841010401188,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.206.198.140-19604-2392-6,111.206.198.140,2392,192.168.0.24,19604,6,05/06/2019 10:34:27 AM,2720,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.2941176470588,2720.0,0.0,2720.0,2720.0,0.0,0.0,0.0,0.0,0.0,2720.0,2720.0,0.0,2720.0,2720.0,0,0,0,0,0,40,0.0,735.2941176470588,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.235.171.160-19604-5642-6,111.235.171.160,5642,192.168.0.24,19604,6,05/06/2019 10:34:15 AM,4551,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.4638540980004,4551.0,0.0,4551.0,4551.0,0.0,0.0,0.0,0.0,0.0,4551.0,4551.0,0.0,4551.0,4551.0,0,0,0,0,0,40,0.0,439.4638540980004,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.182.55.201-19604-1970-6,111.182.55.201,1970,192.168.0.24,19604,6,05/06/2019 10:34:18 AM,1513,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.8770654329148,1513.0,0.0,1513.0,1513.0,0.0,0.0,0.0,0.0,0.0,1513.0,1513.0,0.0,1513.0,1513.0,0,0,0,0,0,40,0.0,1321.8770654329148,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.246.188.16-19604-8574-6,111.246.188.16,8574,192.168.0.24,19604,6,05/06/2019 10:34:16 AM,1894,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1055.9662090813094,1894.0,0.0,1894.0,1894.0,0.0,0.0,0.0,0.0,0.0,1894.0,1894.0,0.0,1894.0,1894.0,0,0,0,0,0,40,0.0,1055.9662090813094,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.153.30.34-19604-4523-6,111.153.30.34,4523,192.168.0.24,19604,6,05/06/2019 10:34:21 AM,1431,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.6240391334732,1431.0,0.0,1431.0,1431.0,0.0,0.0,0.0,0.0,0.0,1431.0,1431.0,0.0,1431.0,1431.0,0,0,0,0,0,40,0.0,1397.6240391334732,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.227.81.64-19604-1981-6,111.227.81.64,1981,192.168.0.24,19604,6,05/06/2019 10:34:15 AM,630,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3174.6031746031745,630.0,0.0,630.0,630.0,0.0,0.0,0.0,0.0,0.0,630.0,630.0,0.0,630.0,630.0,0,0,0,0,0,40,0.0,3174.6031746031745,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.168.119.14-19604-5522-6,111.168.119.14,5522,192.168.0.24,19604,6,05/06/2019 10:34:18 AM,867,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2306.8050749711647,867.0,0.0,867.0,867.0,0.0,0.0,0.0,0.0,0.0,867.0,867.0,0.0,867.0,867.0,0,0,0,0,0,40,0.0,2306.8050749711647,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.187.91.96-19604-7838-6,111.187.91.96,7838,192.168.0.24,19604,6,05/06/2019 10:34:29 AM,2711,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.7351530800443,2711.0,0.0,2711.0,2711.0,0.0,0.0,0.0,0.0,0.0,2711.0,2711.0,0.0,2711.0,2711.0,0,0,0,0,0,40,0.0,737.7351530800443,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.55.238.50-19604-1428-6,111.55.238.50,1428,192.168.0.24,19604,6,05/06/2019 10:34:14 AM,1214,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647.4464579901153,1214.0,0.0,1214.0,1214.0,0.0,0.0,0.0,0.0,0.0,1214.0,1214.0,0.0,1214.0,1214.0,0,0,0,0,0,40,0.0,1647.4464579901153,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.127.117.223-19604-1179-6,111.127.117.223,1179,192.168.0.24,19604,6,05/06/2019 10:34:15 AM,1026,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.317738791423,1026.0,0.0,1026.0,1026.0,0.0,0.0,0.0,0.0,0.0,1026.0,1026.0,0.0,1026.0,1026.0,0,0,0,0,0,40,0.0,1949.317738791423,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.67.84.149-19604-7446-6,111.67.84.149,7446,192.168.0.24,19604,6,05/06/2019 10:34:22 AM,879,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2275.3128555176336,879.0,0.0,879.0,879.0,0.0,0.0,0.0,0.0,0.0,879.0,879.0,0.0,879.0,879.0,0,0,0,0,0,40,0.0,2275.3128555176336,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.15.228.156-19604-6437-6,111.15.228.156,6437,192.168.0.24,19604,6,05/06/2019 10:34:14 AM,543,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3683.241252302026,543.0,0.0,543.0,543.0,0.0,0.0,0.0,0.0,0.0,543.0,543.0,0.0,543.0,543.0,0,0,0,0,0,40,0.0,3683.241252302026,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
