Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.13-111.42.99.138-554-4499-6,111.42.99.138,4499,192.168.0.13,554,6,27/05/2019 09:20:34 AM,2377,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.3967185527976,2377.0,0.0,2377.0,2377.0,0.0,0.0,0.0,0.0,0.0,2377.0,2377.0,0.0,2377.0,2377.0,0,0,0,0,0,44,0.0,841.3967185527976,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.206.110.156-554-1640-6,111.206.110.156,1640,192.168.0.13,554,6,27/05/2019 09:20:34 AM,5171,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.1585766776252,2585.5,2471.3382002469834,4333.0,838.0,0.0,0.0,0.0,0.0,0.0,5171.0,2585.5,2471.3382002469834,4333.0,838.0,0,0,0,0,0,68,0.0,580.1585766776252,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.139.250.189-554-8834-6,111.139.250.189,8834,192.168.0.13,554,6,27/05/2019 09:20:34 AM,1294,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1545.595054095827,1294.0,0.0,1294.0,1294.0,0.0,0.0,0.0,0.0,0.0,1294.0,1294.0,0.0,1294.0,1294.0,0,0,0,0,0,44,0.0,1545.595054095827,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.142.138.130-554-2269-6,111.142.138.130,2269,192.168.0.13,554,6,27/05/2019 09:20:40 AM,1431,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2795.2480782669463,477.0,94.44045743218317,555.0,372.0,372.0,372.0,0.0,372.0,372.0,1431.0,1431.0,0.0,1431.0,1431.0,0,0,0,0,40,44,1397.6240391334732,1397.6240391334732,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.192.40.182-554-1535-6,111.192.40.182,1535,192.168.0.13,554,6,27/05/2019 09:20:43 AM,6651,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.8266426101338,950.1428571428572,238.35367878527947,1477.0,765.0,5773.0,962.1666666666669,258.7673987709168,1477.0,765.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,20,1052.473312283867,150.35333032626673,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,1,0,-1,5783,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.8.79.104-554-7605-6,111.8.79.104,7605,192.168.0.13,554,6,27/05/2019 09:20:33 AM,4078,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.4364884747425,4078.0,0.0,4078.0,4078.0,0.0,0.0,0.0,0.0,0.0,4078.0,4078.0,0.0,4078.0,4078.0,0,0,0,0,0,44,0.0,490.4364884747425,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.161.231.128-554-1514-6,111.161.231.128,1514,192.168.0.13,554,6,27/05/2019 09:20:36 AM,2283,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876.0402978537013,2283.0,0.0,2283.0,2283.0,0.0,0.0,0.0,0.0,0.0,2283.0,2283.0,0.0,2283.0,2283.0,0,0,0,0,0,44,0.0,876.0402978537013,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.206.246.231-554-7360-6,111.206.246.231,7360,192.168.0.13,554,6,27/05/2019 09:20:40 AM,7417,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.47620331670487,3708.5,2830.5484450897497,5710.0,1707.0,0.0,0.0,0.0,0.0,0.0,7417.0,3708.5,2830.5484450897497,5710.0,1707.0,0,0,0,0,0,68,0.0,404.47620331670487,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.225.240.152-554-1837-6,111.225.240.152,1837,192.168.0.13,554,6,27/05/2019 09:20:41 AM,3130,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.9776357827476,3130.0,0.0,3130.0,3130.0,0.0,0.0,0.0,0.0,0.0,3130.0,3130.0,0.0,3130.0,3130.0,0,0,0,0,0,44,0.0,638.9776357827476,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.50.124.103-554-5976-6,111.50.124.103,5976,192.168.0.13,554,6,27/05/2019 09:20:39 AM,3127,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.5906619763351,3127.0,0.0,3127.0,3127.0,0.0,0.0,0.0,0.0,0.0,3127.0,3127.0,0.0,3127.0,3127.0,0,0,0,0,0,44,0.0,639.5906619763351,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
