Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.13-111.24.37.121-554-8496-6,111.24.37.121,8496,192.168.0.13,554,6,27/05/2019 09:20:37 AM,3568,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.5381165919282,3568.0,0.0,3568.0,3568.0,0.0,0.0,0.0,0.0,0.0,3568.0,3568.0,0.0,3568.0,3568.0,0,0,0,0,0,44,0.0,560.5381165919282,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.138.10.222-554-2547-6,111.138.10.222,2547,192.168.0.13,554,6,27/05/2019 09:20:32 AM,1284,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1557.632398753894,1284.0,0.0,1284.0,1284.0,0.0,0.0,0.0,0.0,0.0,1284.0,1284.0,0.0,1284.0,1284.0,0,0,0,0,0,44,0.0,1557.632398753894,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.111.249.216-554-7295-6,111.111.249.216,7295,192.168.0.13,554,6,27/05/2019 09:20:38 AM,2053,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.1841207988308,2053.0,0.0,2053.0,2053.0,0.0,0.0,0.0,0.0,0.0,2053.0,2053.0,0.0,2053.0,2053.0,0,0,0,0,0,44,0.0,974.1841207988308,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.55.170.9-554-8771-6,111.55.170.9,8771,192.168.0.13,554,6,27/05/2019 09:20:34 AM,3203,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.4146113019044,3203.0,0.0,3203.0,3203.0,0.0,0.0,0.0,0.0,0.0,3203.0,3203.0,0.0,3203.0,3203.0,0,0,0,0,0,44,0.0,624.4146113019044,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.129.217.19-554-1147-6,111.129.217.19,1147,192.168.0.13,554,6,27/05/2019 09:20:37 AM,3967,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.1593143433325,3967.0,0.0,3967.0,3967.0,0.0,0.0,0.0,0.0,0.0,3967.0,3967.0,0.0,3967.0,3967.0,0,0,0,0,0,44,0.0,504.1593143433325,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.93.159.117-554-1255-6,111.93.159.117,1255,192.168.0.13,554,6,27/05/2019 09:20:43 AM,1914,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.9320794148382,1914.0,0.0,1914.0,1914.0,0.0,0.0,0.0,0.0,0.0,1914.0,1914.0,0.0,1914.0,1914.0,0,0,0,0,0,44,0.0,1044.9320794148382,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.183.120.127-554-8125-6,111.183.120.127,8125,192.168.0.13,554,6,27/05/2019 09:20:34 AM,3580,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.659217877095,3580.0,0.0,3580.0,3580.0,0.0,0.0,0.0,0.0,0.0,3580.0,3580.0,0.0,3580.0,3580.0,0,0,0,0,0,44,0.0,558.659217877095,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.10.76.11-554-7664-6,111.10.76.11,7664,192.168.0.13,554,6,27/05/2019 09:20:40 AM,3037,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.5446163977609,3037.0,0.0,3037.0,3037.0,0.0,0.0,0.0,0.0,0.0,3037.0,3037.0,0.0,3037.0,3037.0,0,0,0,0,0,44,0.0,658.5446163977609,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.60.30.24-554-2055-6,111.60.30.24,2055,192.168.0.13,554,6,27/05/2019 09:20:42 AM,2277,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1317.5230566534915,1138.5,1291.8840892278224,2052.0,225.0,0.0,0.0,0.0,0.0,0.0,2277.0,2277.0,0.0,2277.0,2277.0,0,0,0,0,20,44,439.1743522178305,878.348704435661,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.104.202.33-554-8286-6,111.104.202.33,8286,192.168.0.13,554,6,27/05/2019 09:20:39 AM,7392,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.56277056277054,7392.0,0.0,7392.0,7392.0,0.0,0.0,0.0,0.0,0.0,7392.0,7392.0,0.0,7392.0,7392.0,0,0,0,0,0,44,0.0,270.56277056277054,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
