Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.13-111.52.230.216-554-4466-6,111.52.230.216,4466,192.168.0.13,554,6,27/05/2019 09:20:33 AM,1313,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1523.2292460015233,1313.0,0.0,1313.0,1313.0,0.0,0.0,0.0,0.0,0.0,1313.0,1313.0,0.0,1313.0,1313.0,0,0,0,0,0,44,0.0,1523.2292460015233,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.43.73.232-554-5634-6,111.43.73.232,5634,192.168.0.13,554,6,27/05/2019 09:20:32 AM,1320,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1515.1515151515152,1320.0,0.0,1320.0,1320.0,0.0,0.0,0.0,0.0,0.0,1320.0,1320.0,0.0,1320.0,1320.0,0,0,0,0,0,44,0.0,1515.1515151515152,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.140.28.32-554-8023-6,111.140.28.32,8023,192.168.0.13,554,6,27/05/2019 09:20:42 AM,4742,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.5259384226066,1580.6666666666667,858.1959760645195,2571.0,1055.0,0.0,0.0,0.0,0.0,0.0,4742.0,1580.6666666666667,858.1959760645195,2571.0,1055.0,0,0,0,0,0,92,0.0,843.5259384226066,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.162.13.95-554-5726-6,111.162.13.95,5726,192.168.0.13,554,6,27/05/2019 09:20:41 AM,2198,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.9181073703368,2198.0,0.0,2198.0,2198.0,0.0,0.0,0.0,0.0,0.0,2198.0,2198.0,0.0,2198.0,2198.0,0,0,0,0,0,44,0.0,909.9181073703368,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.84.212.147-554-6123-6,111.84.212.147,6123,192.168.0.13,554,6,27/05/2019 09:20:37 AM,2312,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.0519031141869,2312.0,0.0,2312.0,2312.0,0.0,0.0,0.0,0.0,0.0,2312.0,2312.0,0.0,2312.0,2312.0,0,0,0,0,0,44,0.0,865.0519031141869,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.199.37.238-554-3025-6,111.199.37.238,3025,192.168.0.13,554,6,27/05/2019 09:20:37 AM,3782,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.820729772607,3782.0,0.0,3782.0,3782.0,0.0,0.0,0.0,0.0,0.0,3782.0,3782.0,0.0,3782.0,3782.0,0,0,0,0,0,44,0.0,528.820729772607,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.74.124.67-554-4985-6,111.74.124.67,4985,192.168.0.13,554,6,27/05/2019 09:20:36 AM,3768,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.7855626326964,3768.0,0.0,3768.0,3768.0,0.0,0.0,0.0,0.0,0.0,3768.0,3768.0,0.0,3768.0,3768.0,0,0,0,0,0,44,0.0,530.7855626326964,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.205.0.22-554-1071-6,111.205.0.22,1071,192.168.0.13,554,6,27/05/2019 09:20:36 AM,5099,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.2337713277113,5099.0,0.0,5099.0,5099.0,0.0,0.0,0.0,0.0,0.0,5099.0,5099.0,0.0,5099.0,5099.0,0,0,0,0,0,44,0.0,392.2337713277113,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.183.140.69-554-3777-6,111.183.140.69,3777,192.168.0.13,554,6,27/05/2019 09:20:42 AM,2603,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.344218209758,2603.0,0.0,2603.0,2603.0,0.0,0.0,0.0,0.0,0.0,2603.0,2603.0,0.0,2603.0,2603.0,0,0,0,0,0,44,0.0,768.344218209758,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.1-192.168.0.14-80-54911-6,192.168.0.1,80,192.168.0.14,54911,6,27/05/2019 09:20:45 AM,101249,72,1,97574.0,0.0,1448.0,0.0,1355.1944444444443,261.18099271313093,0.0,0.0,0.0,0.0,963703.3452182245,720.9947752570396,1406.236111111111,4852.116725524464,33582.0,68.0,98451.0,1386.6338028169016,4883.779740088427,33582.0,68.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2304,40,711.1181345000938,9.876640756945749,0.0,1448.0,1318.5675675675682,339.5632198922482,115303.18030359127,0,1,0,0,1,0,0,0,0.0,1336.6301369863013,1355.1944444444443,0.0,0,0,0,0,0,0,72,97574,1,0,-1,14480,71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.13-111.185.172.188-554-7912-6,111.185.172.188,7912,192.168.0.13,554,6,27/05/2019 09:20:31 AM,4732,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.654268808115,4732.0,0.0,4732.0,4732.0,0.0,0.0,0.0,0.0,0.0,4732.0,4732.0,0.0,4732.0,4732.0,0,0,0,0,0,44,0.0,422.654268808115,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.243.224.125-554-6500-6,111.243.224.125,6500,192.168.0.13,554,6,27/05/2019 09:20:34 AM,1047,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1910.2196752626555,1047.0,0.0,1047.0,1047.0,0.0,0.0,0.0,0.0,0.0,1047.0,1047.0,0.0,1047.0,1047.0,0,0,0,0,0,44,0.0,1910.2196752626555,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.111.209.38-554-2940-6,111.111.209.38,2940,192.168.0.13,554,6,27/05/2019 09:20:37 AM,1327,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1507.1590052750564,1327.0,0.0,1327.0,1327.0,0.0,0.0,0.0,0.0,0.0,1327.0,1327.0,0.0,1327.0,1327.0,0,0,0,0,0,44,0.0,1507.1590052750564,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.130.37.227-554-1315-6,111.130.37.227,1315,192.168.0.13,554,6,27/05/2019 09:20:33 AM,3354,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.3029218843172,3354.0,0.0,3354.0,3354.0,0.0,0.0,0.0,0.0,0.0,3354.0,3354.0,0.0,3354.0,3354.0,0,0,0,0,0,44,0.0,596.3029218843172,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.119.88.151-554-2796-6,111.119.88.151,2796,192.168.0.13,554,6,27/05/2019 09:20:35 AM,5481,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.8969166210546,5481.0,0.0,5481.0,5481.0,0.0,0.0,0.0,0.0,0.0,5481.0,5481.0,0.0,5481.0,5481.0,0,0,0,0,0,44,0.0,364.8969166210546,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.209.149.199-554-2480-6,111.209.149.199,2480,192.168.0.13,554,6,27/05/2019 09:20:32 AM,1517,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1318.3915622940017,1517.0,0.0,1517.0,1517.0,0.0,0.0,0.0,0.0,0.0,1517.0,1517.0,0.0,1517.0,1517.0,0,0,0,0,0,44,0.0,1318.3915622940017,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
