Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.13-111.105.197.196-554-4268-6,111.105.197.196,4268,192.168.0.13,554,6,27/05/2019 09:20:40 AM,3651,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.7951246233908,3651.0,0.0,3651.0,3651.0,0.0,0.0,0.0,0.0,0.0,3651.0,3651.0,0.0,3651.0,3651.0,0,0,0,0,0,44,0.0,547.7951246233908,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.144.135.253-554-3574-6,111.144.135.253,3574,192.168.0.13,554,6,27/05/2019 09:20:43 AM,3722,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.345513164965,3722.0,0.0,3722.0,3722.0,0.0,0.0,0.0,0.0,0.0,3722.0,3722.0,0.0,3722.0,3722.0,0,0,0,0,0,44,0.0,537.345513164965,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.98.18.135-554-3496-6,111.98.18.135,3496,192.168.0.13,554,6,27/05/2019 09:20:31 AM,1619,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1235.3304508956146,1619.0,0.0,1619.0,1619.0,0.0,0.0,0.0,0.0,0.0,1619.0,1619.0,0.0,1619.0,1619.0,0,0,0,0,0,44,0.0,1235.3304508956146,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.18.198.152-554-3328-6,111.18.198.152,3328,192.168.0.13,554,6,27/05/2019 09:20:38 AM,2915,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.106346483705,2915.0,0.0,2915.0,2915.0,0.0,0.0,0.0,0.0,0.0,2915.0,2915.0,0.0,2915.0,2915.0,0,0,0,0,0,44,0.0,686.106346483705,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.189.248.68-554-8836-6,111.189.248.68,8836,192.168.0.13,554,6,27/05/2019 09:20:40 AM,1519,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316.6556945358789,1519.0,0.0,1519.0,1519.0,0.0,0.0,0.0,0.0,0.0,1519.0,1519.0,0.0,1519.0,1519.0,0,0,0,0,0,44,0.0,1316.6556945358789,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.39.37.44-554-7207-6,111.39.37.44,7207,192.168.0.13,554,6,27/05/2019 09:20:31 AM,4878,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0041000410004,4878.0,0.0,4878.0,4878.0,0.0,0.0,0.0,0.0,0.0,4878.0,4878.0,0.0,4878.0,4878.0,0,0,0,0,0,44,0.0,410.0041000410004,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.211.151.160-554-7808-6,111.211.151.160,7808,192.168.0.13,554,6,27/05/2019 09:20:34 AM,1484,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347.708894878706,1484.0,0.0,1484.0,1484.0,0.0,0.0,0.0,0.0,0.0,1484.0,1484.0,0.0,1484.0,1484.0,0,0,0,0,0,44,0.0,1347.708894878706,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.187.139.88-554-1644-6,111.187.139.88,1644,192.168.0.13,554,6,27/05/2019 09:20:41 AM,1774,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1127.3957158962796,1774.0,0.0,1774.0,1774.0,0.0,0.0,0.0,0.0,0.0,1774.0,1774.0,0.0,1774.0,1774.0,0,0,0,0,0,44,0.0,1127.3957158962796,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.146.123.114-554-5244-6,111.146.123.114,5244,192.168.0.13,554,6,27/05/2019 09:20:30 AM,2039,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2942.618930848455,407.8,317.5510982503446,969.0,220.0,773.0,257.6666666666667,65.24058041842771,333.0,220.0,2039.0,2039.0,0.0,2039.0,2039.0,0,0,0,0,80,44,1961.74595389897,980.8729769494852,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.153.115.127-554-8324-6,111.153.115.127,8324,192.168.0.13,554,6,27/05/2019 09:20:38 AM,3045,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.8144499178982,3045.0,0.0,3045.0,3045.0,0.0,0.0,0.0,0.0,0.0,3045.0,3045.0,0.0,3045.0,3045.0,0,0,0,0,0,44,0.0,656.8144499178982,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
