Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.13-111.155.195.162-554-3977-6,111.155.195.162,3977,192.168.0.13,554,6,27/05/2019 09:20:36 AM,1207,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657.0008285004144,1207.0,0.0,1207.0,1207.0,0.0,0.0,0.0,0.0,0.0,1207.0,1207.0,0.0,1207.0,1207.0,0,0,0,0,0,44,0.0,1657.0008285004144,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.90.45.116-554-3052-6,111.90.45.116,3052,192.168.0.13,554,6,27/05/2019 09:20:42 AM,5303,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.1450122572128,5303.0,0.0,5303.0,5303.0,0.0,0.0,0.0,0.0,0.0,5303.0,5303.0,0.0,5303.0,5303.0,0,0,0,0,0,44,0.0,377.1450122572128,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.81.171.88-554-2128-6,111.81.171.88,2128,192.168.0.13,554,6,27/05/2019 09:20:31 AM,880,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2272.7272727272725,880.0,0.0,880.0,880.0,0.0,0.0,0.0,0.0,0.0,880.0,880.0,0.0,880.0,880.0,0,0,0,0,0,44,0.0,2272.7272727272725,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.181.254.249-554-5111-6,111.181.254.249,5111,192.168.0.13,554,6,27/05/2019 09:20:32 AM,4990,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.8016032064128,4990.0,0.0,4990.0,4990.0,0.0,0.0,0.0,0.0,0.0,4990.0,4990.0,0.0,4990.0,4990.0,0,0,0,0,0,44,0.0,400.8016032064128,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.180.36.22-554-5977-6,111.180.36.22,5977,192.168.0.13,554,6,27/05/2019 09:20:32 AM,9045,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.1166390270868,9045.0,0.0,9045.0,9045.0,0.0,0.0,0.0,0.0,0.0,9045.0,9045.0,0.0,9045.0,9045.0,0,0,0,0,0,44,0.0,221.1166390270868,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.151.26.40-554-6670-6,111.151.26.40,6670,192.168.0.13,554,6,27/05/2019 09:20:41 AM,3485,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.8880918220947,3485.0,0.0,3485.0,3485.0,0.0,0.0,0.0,0.0,0.0,3485.0,3485.0,0.0,3485.0,3485.0,0,0,0,0,0,44,0.0,573.8880918220947,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.122.227.128-554-4819-6,111.122.227.128,4819,192.168.0.13,554,6,27/05/2019 09:20:42 AM,2246,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.4719501335708,2246.0,0.0,2246.0,2246.0,0.0,0.0,0.0,0.0,0.0,2246.0,2246.0,0.0,2246.0,2246.0,0,0,0,0,0,44,0.0,890.4719501335708,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.115.23.120-554-2525-6,111.115.23.120,2525,192.168.0.13,554,6,27/05/2019 09:20:38 AM,4870,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.6776180698152,4870.0,0.0,4870.0,4870.0,0.0,0.0,0.0,0.0,0.0,4870.0,4870.0,0.0,4870.0,4870.0,0,0,0,0,0,44,0.0,410.6776180698152,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.173.81.74-554-1633-6,111.173.81.74,1633,192.168.0.13,554,6,27/05/2019 09:20:34 AM,9921,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.5925813930048,9921.0,0.0,9921.0,9921.0,0.0,0.0,0.0,0.0,0.0,9921.0,9921.0,0.0,9921.0,9921.0,0,0,0,0,0,44,0.0,201.5925813930048,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.252.231.145-554-7148-6,111.252.231.145,7148,192.168.0.13,554,6,27/05/2019 09:20:30 AM,4839,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.308534821244,4839.0,0.0,4839.0,4839.0,0.0,0.0,0.0,0.0,0.0,4839.0,4839.0,0.0,4839.0,4839.0,0,0,0,0,0,44,0.0,413.308534821244,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
