Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.13-111.119.225.208-554-3238-6,111.119.225.208,3238,192.168.0.13,554,6,27/05/2019 09:20:37 AM,1239,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1614.2050040355125,1239.0,0.0,1239.0,1239.0,0.0,0.0,0.0,0.0,0.0,1239.0,1239.0,0.0,1239.0,1239.0,0,0,0,0,0,44,0.0,1614.2050040355125,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.235.126.47-554-1571-6,111.235.126.47,1571,192.168.0.13,554,6,27/05/2019 09:20:40 AM,2683,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1118.1513231457325,1341.5,1525.229327019383,2420.0,263.0,0.0,0.0,0.0,0.0,0.0,2683.0,2683.0,0.0,2683.0,2683.0,0,0,0,0,20,44,372.71710771524414,745.4342154304883,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.70.107.200-554-6147-6,111.70.107.200,6147,192.168.0.13,554,6,27/05/2019 09:20:39 AM,2824,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.2152974504249,2824.0,0.0,2824.0,2824.0,0.0,0.0,0.0,0.0,0.0,2824.0,2824.0,0.0,2824.0,2824.0,0,0,0,0,0,44,0.0,708.2152974504249,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.161.153.63-554-2250-6,111.161.153.63,2250,192.168.0.13,554,6,27/05/2019 09:20:31 AM,3167,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.5124723713293,3167.0,0.0,3167.0,3167.0,0.0,0.0,0.0,0.0,0.0,3167.0,3167.0,0.0,3167.0,3167.0,0,0,0,0,0,44,0.0,631.5124723713293,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.231.91.73-554-2529-6,111.231.91.73,2529,192.168.0.13,554,6,27/05/2019 09:20:35 AM,5470,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.4460694698355,2735.0,1854.033980271128,4046.0,1424.0,0.0,0.0,0.0,0.0,0.0,5470.0,2735.0,1854.033980271128,4046.0,1424.0,0,0,0,0,0,68,0.0,548.4460694698355,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.12-224.0.0.252-59791-5355-17,192.168.0.12,59791,224.0.0.252,5355,17,27/05/2019 09:20:27 AM,816429,3,1,99.0,33.0,33.0,33.0,33.0,0.0,33.0,33.0,33.0,0.0,161.67970515501042,4.899385004697286,272143.0,382257.60503487696,709205.0,194.0,816235.0,408117.5,425802.02596100926,709205.0,107030.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,8,3.674538753522964,1.2248462511743214,33.0,33.0,33.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,41.25,33.0,33.0,0,0,0,0,0,0,3,99,1,33,-1,-1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.13-111.40.153.248-554-2785-6,111.40.153.248,2785,192.168.0.13,554,6,27/05/2019 09:20:35 AM,3894,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.6106831022086,3894.0,0.0,3894.0,3894.0,0.0,0.0,0.0,0.0,0.0,3894.0,3894.0,0.0,3894.0,3894.0,0,0,0,0,0,44,0.0,513.6106831022086,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.3.130.2-554-4548-6,111.3.130.2,4548,192.168.0.13,554,6,27/05/2019 09:20:32 AM,3556,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.429696287964,3556.0,0.0,3556.0,3556.0,0.0,0.0,0.0,0.0,0.0,3556.0,3556.0,0.0,3556.0,3556.0,0,0,0,0,0,44,0.0,562.429696287964,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.3.181.165-554-1250-6,111.3.181.165,1250,192.168.0.13,554,6,27/05/2019 09:20:31 AM,2070,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.1835748792272,2070.0,0.0,2070.0,2070.0,0.0,0.0,0.0,0.0,0.0,2070.0,2070.0,0.0,2070.0,2070.0,0,0,0,0,0,44,0.0,966.1835748792272,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.178.69.124-554-6431-6,111.178.69.124,6431,192.168.0.13,554,6,27/05/2019 09:20:38 AM,1757,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138.3039271485486,1757.0,0.0,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,1757.0,1757.0,0.0,1757.0,1757.0,0,0,0,0,0,44,0.0,1138.3039271485486,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
