Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.24-111.16.139.220-19604-3464-6,111.16.139.220,3464,192.168.0.24,19604,6,05/06/2019 10:34:29 AM,1264,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582.2784810126584,1264.0,0.0,1264.0,1264.0,0.0,0.0,0.0,0.0,0.0,1264.0,1264.0,0.0,1264.0,1264.0,0,0,0,0,0,40,0.0,1582.2784810126584,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.251.71.34-19604-2543-6,111.251.71.34,2543,192.168.0.24,19604,6,05/06/2019 10:34:25 AM,2616,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.5259938837921,2616.0,0.0,2616.0,2616.0,0.0,0.0,0.0,0.0,0.0,2616.0,2616.0,0.0,2616.0,2616.0,0,0,0,0,0,40,0.0,764.5259938837921,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.41.81.74-19604-3525-6,111.41.81.74,3525,192.168.0.24,19604,6,05/06/2019 10:34:22 AM,2363,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.3817181548878,2363.0,0.0,2363.0,2363.0,0.0,0.0,0.0,0.0,0.0,2363.0,2363.0,0.0,2363.0,2363.0,0,0,0,0,0,40,0.0,846.3817181548878,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.172.221.27-19604-8354-6,111.172.221.27,8354,192.168.0.24,19604,6,05/06/2019 10:34:17 AM,2573,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.3027594247959,2573.0,0.0,2573.0,2573.0,0.0,0.0,0.0,0.0,0.0,2573.0,2573.0,0.0,2573.0,2573.0,0,0,0,0,0,40,0.0,777.3027594247959,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.189.248.207-19604-6080-6,111.189.248.207,6080,192.168.0.24,19604,6,05/06/2019 10:34:16 AM,1213,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1648.8046166529266,1213.0,0.0,1213.0,1213.0,0.0,0.0,0.0,0.0,0.0,1213.0,1213.0,0.0,1213.0,1213.0,0,0,0,0,0,40,0.0,1648.8046166529266,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.32.204.198-19604-6506-6,111.32.204.198,6506,192.168.0.24,19604,6,05/06/2019 10:34:24 AM,1712,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1168.2242990654206,1712.0,0.0,1712.0,1712.0,0.0,0.0,0.0,0.0,0.0,1712.0,1712.0,0.0,1712.0,1712.0,0,0,0,0,0,40,0.0,1168.2242990654206,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.255.47.112-19604-8161-6,111.255.47.112,8161,192.168.0.24,19604,6,05/06/2019 10:34:20 AM,4315,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.4994206257242,4315.0,0.0,4315.0,4315.0,0.0,0.0,0.0,0.0,0.0,4315.0,4315.0,0.0,4315.0,4315.0,0,0,0,0,0,40,0.0,463.4994206257242,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.143.22.18-19604-7335-6,111.143.22.18,7335,192.168.0.24,19604,6,05/06/2019 10:34:31 AM,11590,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.6876617773943,2318.0,4453.971430083493,10285.0,292.0,11292.0,2823.0,4974.968877624597,10285.0,292.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,20,431.40638481449525,86.28127696289906,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,-1,7062,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.64.236.51-19604-1585-6,111.64.236.51,1585,192.168.0.24,19604,6,05/06/2019 10:34:24 AM,1546,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293.66106080207,1546.0,0.0,1546.0,1546.0,0.0,0.0,0.0,0.0,0.0,1546.0,1546.0,0.0,1546.0,1546.0,0,0,0,0,0,40,0.0,1293.66106080207,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.194.148.115-19604-6509-6,111.194.148.115,6509,192.168.0.24,19604,6,05/06/2019 10:34:28 AM,3718,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.9236148466917,3718.0,0.0,3718.0,3718.0,0.0,0.0,0.0,0.0,0.0,3718.0,3718.0,0.0,3718.0,3718.0,0,0,0,0,0,40,0.0,537.9236148466917,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
