Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.24-111.76.113.17-19604-3523-6,111.76.113.17,3523,192.168.0.24,19604,6,05/06/2019 10:34:13 AM,2505,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.4031936127745,2505.0,0.0,2505.0,2505.0,0.0,0.0,0.0,0.0,0.0,2505.0,2505.0,0.0,2505.0,2505.0,0,0,0,0,0,40,0.0,798.4031936127745,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.76.132.214-19604-2074-6,111.76.132.214,2074,192.168.0.24,19604,6,05/06/2019 10:34:15 AM,1920,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.6666666666667,1920.0,0.0,1920.0,1920.0,0.0,0.0,0.0,0.0,0.0,1920.0,1920.0,0.0,1920.0,1920.0,0,0,0,0,0,40,0.0,1041.6666666666667,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.149.238.253-19604-8722-6,111.149.238.253,8722,192.168.0.24,19604,6,05/06/2019 10:34:25 AM,3590,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.1030640668524,3590.0,0.0,3590.0,3590.0,0.0,0.0,0.0,0.0,0.0,3590.0,3590.0,0.0,3590.0,3590.0,0,0,0,0,0,40,0.0,557.1030640668524,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.109.120.51-19604-2529-6,111.109.120.51,2529,192.168.0.24,19604,6,05/06/2019 10:34:27 AM,1605,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1246.105919003115,1605.0,0.0,1605.0,1605.0,0.0,0.0,0.0,0.0,0.0,1605.0,1605.0,0.0,1605.0,1605.0,0,0,0,0,0,40,0.0,1246.105919003115,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.55.253.79-19604-3431-6,111.55.253.79,3431,192.168.0.24,19604,6,05/06/2019 10:34:22 AM,1220,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1639.344262295082,1220.0,0.0,1220.0,1220.0,0.0,0.0,0.0,0.0,0.0,1220.0,1220.0,0.0,1220.0,1220.0,0,0,0,0,0,40,0.0,1639.344262295082,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.157.42.130-19604-2207-6,111.157.42.130,2207,192.168.0.24,19604,6,05/06/2019 10:34:18 AM,1370,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1459.8540145985403,1370.0,0.0,1370.0,1370.0,0.0,0.0,0.0,0.0,0.0,1370.0,1370.0,0.0,1370.0,1370.0,0,0,0,0,0,40,0.0,1459.8540145985403,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.73.143.218-19604-5369-6,111.73.143.218,5369,192.168.0.24,19604,6,05/06/2019 10:34:27 AM,6044,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.90668431502314,6044.0,0.0,6044.0,6044.0,0.0,0.0,0.0,0.0,0.0,6044.0,6044.0,0.0,6044.0,6044.0,0,0,0,0,0,40,0.0,330.90668431502314,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.251.255.36-19604-5097-6,111.251.255.36,5097,192.168.0.24,19604,6,05/06/2019 10:34:26 AM,1020,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.7843137254904,1020.0,0.0,1020.0,1020.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0,0.0,1020.0,1020.0,0,0,0,0,0,40,0.0,1960.7843137254904,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.209.235.27-19604-3883-6,111.209.235.27,3883,192.168.0.24,19604,6,05/06/2019 10:34:19 AM,1011,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1978.2393669634027,1011.0,0.0,1011.0,1011.0,0.0,0.0,0.0,0.0,0.0,1011.0,1011.0,0.0,1011.0,1011.0,0,0,0,0,0,40,0.0,1978.2393669634027,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.22.51.239-19604-1619-6,111.22.51.239,1619,192.168.0.24,19604,6,05/06/2019 10:34:24 AM,3548,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.6978579481398,3548.0,0.0,3548.0,3548.0,0.0,0.0,0.0,0.0,0.0,3548.0,3548.0,0.0,3548.0,3548.0,0,0,0,0,0,40,0.0,563.6978579481398,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.230.27.103-19604-2045-6,111.230.27.103,2045,192.168.0.24,19604,6,05/06/2019 10:34:20 AM,3602,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.247084952804,3602.0,0.0,3602.0,3602.0,0.0,0.0,0.0,0.0,0.0,3602.0,3602.0,0.0,3602.0,3602.0,0,0,0,0,0,40,0.0,555.247084952804,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.0.239.118-19604-3232-6,111.0.239.118,3232,192.168.0.24,19604,6,05/06/2019 10:34:14 AM,1148,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1742.1602787456447,1148.0,0.0,1148.0,1148.0,0.0,0.0,0.0,0.0,0.0,1148.0,1148.0,0.0,1148.0,1148.0,0,0,0,0,0,40,0.0,1742.1602787456447,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.127.110.24-19604-2085-6,111.127.110.24,2085,192.168.0.24,19604,6,05/06/2019 10:34:25 AM,1050,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1904.7619047619048,1050.0,0.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,1050.0,1050.0,0.0,1050.0,1050.0,0,0,0,0,0,40,0.0,1904.7619047619048,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.149.95.142-19604-2565-6,111.149.95.142,2565,192.168.0.24,19604,6,05/06/2019 10:34:23 AM,1940,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.9278350515465,1940.0,0.0,1940.0,1940.0,0.0,0.0,0.0,0.0,0.0,1940.0,1940.0,0.0,1940.0,1940.0,0,0,0,0,0,40,0.0,1030.9278350515465,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.128.250.14-19604-1597-6,111.128.250.14,1597,192.168.0.24,19604,6,05/06/2019 10:34:31 AM,23868,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.27970504441095,3978.0,6412.836595454464,16808.0,320.0,6722.0,1680.5,1488.829629832328,3095.0,320.0,23868.0,23868.0,0.0,23868.0,23868.0,0,0,0,0,100,40,209.48550360315065,83.79420144126027,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.170.166.39-19604-7028-6,111.170.166.39,7028,192.168.0.24,19604,6,05/06/2019 10:34:25 AM,1246,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1605.1364365971108,1246.0,0.0,1246.0,1246.0,0.0,0.0,0.0,0.0,0.0,1246.0,1246.0,0.0,1246.0,1246.0,0,0,0,0,0,40,0.0,1605.1364365971108,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.150.237.175-19604-5904-6,111.150.237.175,5904,192.168.0.24,19604,6,05/06/2019 10:34:24 AM,2933,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.8435049437436,1466.5,1470.0749980868322,2506.0,427.0,0.0,0.0,0.0,0.0,0.0,2933.0,2933.0,0.0,2933.0,2933.0,0,0,0,0,20,40,340.94783498124787,681.8956699624957,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.195.40.191-19604-3058-6,111.195.40.191,3058,192.168.0.24,19604,6,05/06/2019 10:34:30 AM,50602,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.52412948104818,50602.0,0.0,50602.0,50602.0,0.0,0.0,0.0,0.0,0.0,50602.0,50602.0,0.0,50602.0,50602.0,0,0,0,0,0,40,0.0,39.52412948104818,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.95.203.217-19604-5661-6,111.95.203.217,5661,192.168.0.24,19604,6,05/06/2019 10:34:30 AM,17296,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.717853839038,2882.6666666666665,4738.914798418164,12370.0,451.0,13919.0,3479.75,5927.020183026206,12370.0,451.0,17296.0,17296.0,0.0,17296.0,17296.0,0,0,0,0,100,40,289.0841813135985,115.63367252543942,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.250.224.117-19604-2914-6,111.250.224.117,2914,192.168.0.24,19604,6,05/06/2019 10:34:20 AM,6405,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.256049960968,6405.0,0.0,6405.0,6405.0,0.0,0.0,0.0,0.0,0.0,6405.0,6405.0,0.0,6405.0,6405.0,0,0,0,0,0,40,0.0,312.256049960968,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.2.198.67-19604-6872-6,111.2.198.67,6872,192.168.0.24,19604,6,05/06/2019 10:34:22 AM,4377,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.8679460817912,1459.0,1507.9552380624566,3192.0,446.0,446.0,446.0,0.0,446.0,446.0,4377.0,4377.0,0.0,4377.0,4377.0,0,0,0,0,40,40,456.9339730408957,456.9339730408957,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.31.253.207-19604-1038-6,111.31.253.207,1038,192.168.0.24,19604,6,05/06/2019 10:34:30 AM,617,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3241.4910858995136,617.0,0.0,617.0,617.0,0.0,0.0,0.0,0.0,0.0,617.0,617.0,0.0,617.0,617.0,0,0,0,0,0,40,0.0,3241.4910858995136,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
