Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.13-111.73.49.1-554-2255-6,111.73.49.1,2255,192.168.0.13,554,6,27/05/2019 09:20:31 AM,1831,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092.2992900054614,1831.0,0.0,1831.0,1831.0,0.0,0.0,0.0,0.0,0.0,1831.0,1831.0,0.0,1831.0,1831.0,0,0,0,0,0,44,0.0,1092.2992900054614,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.137.180.8-554-4019-6,111.137.180.8,4019,192.168.0.13,554,6,27/05/2019 09:20:39 AM,1572,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1272.264631043257,1572.0,0.0,1572.0,1572.0,0.0,0.0,0.0,0.0,0.0,1572.0,1572.0,0.0,1572.0,1572.0,0,0,0,0,0,44,0.0,1272.264631043257,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.254.118.103-554-4860-6,111.254.118.103,4860,192.168.0.13,554,6,27/05/2019 09:20:30 AM,2936,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.1989100817439,2936.0,0.0,2936.0,2936.0,0.0,0.0,0.0,0.0,0.0,2936.0,2936.0,0.0,2936.0,2936.0,0,0,0,0,0,44,0.0,681.1989100817439,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.0.208.29-554-7050-6,111.0.208.29,7050,192.168.0.13,554,6,27/05/2019 09:20:43 AM,3979,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.63885398341296,3979.0,0.0,3979.0,3979.0,0.0,0.0,0.0,0.0,0.0,3979.0,3979.0,0.0,3979.0,3979.0,0,0,0,0,0,44,0.0,502.63885398341296,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.201.169.193-554-1490-6,111.201.169.193,1490,192.168.0.13,554,6,27/05/2019 09:20:42 AM,2997,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.334000667334,2997.0,0.0,2997.0,2997.0,0.0,0.0,0.0,0.0,0.0,2997.0,2997.0,0.0,2997.0,2997.0,0,0,0,0,0,44,0.0,667.334000667334,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.164.66.82-554-2965-6,111.164.66.82,2965,192.168.0.13,554,6,27/05/2019 09:20:40 AM,1505,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993.355481727575,752.5,482.953931550412,1094.0,411.0,0.0,0.0,0.0,0.0,0.0,1505.0,1505.0,0.0,1505.0,1505.0,0,0,0,0,20,44,664.4518272425249,1328.90365448505,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.68.154.12-554-2161-6,111.68.154.12,2161,192.168.0.13,554,6,27/05/2019 09:20:40 AM,3743,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.3307507347048,3743.0,0.0,3743.0,3743.0,0.0,0.0,0.0,0.0,0.0,3743.0,3743.0,0.0,3743.0,3743.0,0,0,0,0,0,44,0.0,534.3307507347048,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.222.249.246-554-2866-6,111.222.249.246,2866,192.168.0.13,554,6,27/05/2019 09:20:42 AM,1736,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.073732718894,1736.0,0.0,1736.0,1736.0,0.0,0.0,0.0,0.0,0.0,1736.0,1736.0,0.0,1736.0,1736.0,0,0,0,0,0,44,0.0,1152.073732718894,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.233.250.212-554-7520-6,111.233.250.212,7520,192.168.0.13,554,6,27/05/2019 09:20:39 AM,2750,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.2727272727274,2750.0,0.0,2750.0,2750.0,0.0,0.0,0.0,0.0,0.0,2750.0,2750.0,0.0,2750.0,2750.0,0,0,0,0,0,44,0.0,727.2727272727274,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.208.161.0-554-8646-6,111.208.161.0,8646,192.168.0.13,554,6,27/05/2019 09:20:34 AM,9286,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.37798836958865,9286.0,0.0,9286.0,9286.0,0.0,0.0,0.0,0.0,0.0,9286.0,9286.0,0.0,9286.0,9286.0,0,0,0,0,0,44,0.0,215.37798836958865,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
