Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.24-111.212.193.208-19604-7023-6,111.212.193.208,7023,192.168.0.24,19604,6,05/06/2019 10:34:29 AM,5780,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0207612456747,5780.0,0.0,5780.0,5780.0,0.0,0.0,0.0,0.0,0.0,5780.0,5780.0,0.0,5780.0,5780.0,0,0,0,0,0,40,0.0,346.0207612456747,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.237.209.117-19604-4638-6,111.237.209.117,4638,192.168.0.24,19604,6,05/06/2019 10:34:31 AM,9934,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.32876988121603,9934.0,0.0,9934.0,9934.0,0.0,0.0,0.0,0.0,0.0,9934.0,9934.0,0.0,9934.0,9934.0,0,0,0,0,0,40,0.0,201.32876988121603,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.182.111.11-19604-1706-6,111.182.111.11,1706,192.168.0.24,19604,6,05/06/2019 10:34:19 AM,1275,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1568.627450980392,1275.0,0.0,1275.0,1275.0,0.0,0.0,0.0,0.0,0.0,1275.0,1275.0,0.0,1275.0,1275.0,0,0,0,0,0,40,0.0,1568.627450980392,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.227.72.134-19604-3812-6,111.227.72.134,3812,192.168.0.24,19604,6,05/06/2019 10:34:29 AM,668,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2994.011976047904,668.0,0.0,668.0,668.0,0.0,0.0,0.0,0.0,0.0,668.0,668.0,0.0,668.0,668.0,0,0,0,0,0,40,0.0,2994.011976047904,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.231.224.44-19604-1514-6,111.231.224.44,1514,192.168.0.24,19604,6,05/06/2019 10:34:13 AM,1269,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1576.0441292356186,1269.0,0.0,1269.0,1269.0,0.0,0.0,0.0,0.0,0.0,1269.0,1269.0,0.0,1269.0,1269.0,0,0,0,0,0,40,0.0,1576.0441292356186,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.129.211.1-19604-8947-6,111.129.211.1,8947,192.168.0.24,19604,6,05/06/2019 10:34:31 AM,2958,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2366.463826910074,493.0,146.03698161767107,755.0,356.0,1682.0,420.5,73.44158676571924,510.0,356.0,2958.0,2958.0,0.0,2958.0,2958.0,0,0,0,0,100,40,1690.331304935767,676.1325219743069,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.196.20.154-19604-8731-6,111.196.20.154,8731,192.168.0.24,19604,6,05/06/2019 10:34:19 AM,1033,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1936.108422071636,1033.0,0.0,1033.0,1033.0,0.0,0.0,0.0,0.0,0.0,1033.0,1033.0,0.0,1033.0,1033.0,0,0,0,0,0,40,0.0,1936.108422071636,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.35.192.51-19604-4620-6,111.35.192.51,4620,192.168.0.24,19604,6,05/06/2019 10:34:27 AM,872,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2293.577981651376,872.0,0.0,872.0,872.0,0.0,0.0,0.0,0.0,0.0,872.0,872.0,0.0,872.0,872.0,0,0,0,0,0,40,0.0,2293.577981651376,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.0.249.77-19604-4941-6,111.0.249.77,4941,192.168.0.24,19604,6,05/06/2019 10:34:13 AM,11126,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.75912277548085,11126.0,0.0,11126.0,11126.0,0.0,0.0,0.0,0.0,0.0,11126.0,11126.0,0.0,11126.0,11126.0,0,0,0,0,0,40,0.0,179.75912277548085,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.79.147.121-19604-2921-6,111.79.147.121,2921,192.168.0.24,19604,6,05/06/2019 10:34:16 AM,2617,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.2338555598013,2617.0,0.0,2617.0,2617.0,0.0,0.0,0.0,0.0,0.0,2617.0,2617.0,0.0,2617.0,2617.0,0,0,0,0,0,40,0.0,764.2338555598013,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
