Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.24-111.41.24.198-19604-7815-6,111.41.24.198,7815,192.168.0.24,19604,6,05/06/2019 10:34:29 AM,1155,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1731.6017316017317,1155.0,0.0,1155.0,1155.0,0.0,0.0,0.0,0.0,0.0,1155.0,1155.0,0.0,1155.0,1155.0,0,0,0,0,0,40,0.0,1731.6017316017317,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.92.29.143-19604-4232-6,111.92.29.143,4232,192.168.0.24,19604,6,05/06/2019 10:34:25 AM,3975,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.7169811320754,1987.5,1837.770524303837,3287.0,688.0,0.0,0.0,0.0,0.0,0.0,3975.0,3975.0,0.0,3975.0,3975.0,0,0,0,0,20,40,251.5723270440252,503.1446540880503,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.244.154.83-19604-3428-6,111.244.154.83,3428,192.168.0.24,19604,6,05/06/2019 10:34:15 AM,789,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2534.854245880862,789.0,0.0,789.0,789.0,0.0,0.0,0.0,0.0,0.0,789.0,789.0,0.0,789.0,789.0,0,0,0,0,0,40,0.0,2534.854245880862,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.250.139.93-19604-3174-6,111.250.139.93,3174,192.168.0.24,19604,6,05/06/2019 10:34:24 AM,3152,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1586.294416243655,788.0,597.5070431941925,1683.0,445.0,954.0,477.0,45.254833995939045,509.0,445.0,3152.0,3152.0,0.0,3152.0,3152.0,0,0,0,0,60,40,951.7766497461928,634.5177664974619,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.85.19.215-19604-6647-6,111.85.19.215,6647,192.168.0.24,19604,6,05/06/2019 10:34:21 AM,1516,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319.2612137203166,1516.0,0.0,1516.0,1516.0,0.0,0.0,0.0,0.0,0.0,1516.0,1516.0,0.0,1516.0,1516.0,0,0,0,0,0,40,0.0,1319.2612137203166,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.90.185.3-19604-7253-6,111.90.185.3,7253,192.168.0.24,19604,6,05/06/2019 10:34:13 AM,1211,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1651.5276630883566,1211.0,0.0,1211.0,1211.0,0.0,0.0,0.0,0.0,0.0,1211.0,1211.0,0.0,1211.0,1211.0,0,0,0,0,0,40,0.0,1651.5276630883566,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.106.12.208-19604-2450-6,111.106.12.208,2450,192.168.0.24,19604,6,05/06/2019 10:34:28 AM,1377,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1452.4328249818443,1377.0,0.0,1377.0,1377.0,0.0,0.0,0.0,0.0,0.0,1377.0,1377.0,0.0,1377.0,1377.0,0,0,0,0,0,40,0.0,1452.4328249818443,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.36.70.245-19604-8241-6,111.36.70.245,8241,192.168.0.24,19604,6,05/06/2019 10:34:13 AM,1059,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888.5741265344664,1059.0,0.0,1059.0,1059.0,0.0,0.0,0.0,0.0,0.0,1059.0,1059.0,0.0,1059.0,1059.0,0,0,0,0,0,40,0.0,1888.5741265344664,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.226.94.211-19604-3867-6,111.226.94.211,3867,192.168.0.24,19604,6,05/06/2019 10:34:29 AM,1251,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.721023181455,1251.0,0.0,1251.0,1251.0,0.0,0.0,0.0,0.0,0.0,1251.0,1251.0,0.0,1251.0,1251.0,0,0,0,0,0,40,0.0,1598.721023181455,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-111.220.100.237-19604-6049-6,111.220.100.237,6049,192.168.0.24,19604,6,05/06/2019 10:34:22 AM,1093,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1829.826166514181,1093.0,0.0,1093.0,1093.0,0.0,0.0,0.0,0.0,0.0,1093.0,1093.0,0.0,1093.0,1093.0,0,0,0,0,0,40,0.0,1829.826166514181,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
