Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.13-111.16.23.8-554-6011-6,111.16.23.8,6011,192.168.0.13,554,6,27/05/2019 09:20:43 AM,420,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4761.9047619047615,420.0,0.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,2380.9523809523807,2380.9523809523807,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,6407,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.239.170.53-554-7966-6,111.239.170.53,7966,192.168.0.13,554,6,27/05/2019 09:20:36 AM,1995,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.5062656641604,1995.0,0.0,1995.0,1995.0,0.0,0.0,0.0,0.0,0.0,1995.0,1995.0,0.0,1995.0,1995.0,0,0,0,0,0,44,0.0,1002.5062656641604,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.184.11.235-554-4114-6,111.184.11.235,4114,192.168.0.13,554,6,27/05/2019 09:20:41 AM,3951,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.2009617818274,3951.0,0.0,3951.0,3951.0,0.0,0.0,0.0,0.0,0.0,3951.0,3951.0,0.0,3951.0,3951.0,0,0,0,0,0,44,0.0,506.2009617818274,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.218.111.67-554-1252-6,111.218.111.67,1252,192.168.0.13,554,6,27/05/2019 09:20:30 AM,1342,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490.3129657228017,1342.0,0.0,1342.0,1342.0,0.0,0.0,0.0,0.0,0.0,1342.0,1342.0,0.0,1342.0,1342.0,0,0,0,0,0,44,0.0,1490.3129657228017,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.183.52.221-554-5136-6,111.183.52.221,5136,192.168.0.13,554,6,27/05/2019 09:20:31 AM,4924,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.17384240454913,4924.0,0.0,4924.0,4924.0,0.0,0.0,0.0,0.0,0.0,4924.0,4924.0,0.0,4924.0,4924.0,0,0,0,0,0,44,0.0,406.17384240454913,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.232.192.71-554-1834-6,111.232.192.71,1834,192.168.0.13,554,6,27/05/2019 09:20:42 AM,1869,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.0909577314071,1869.0,0.0,1869.0,1869.0,0.0,0.0,0.0,0.0,0.0,1869.0,1869.0,0.0,1869.0,1869.0,0,0,0,0,0,44,0.0,1070.0909577314071,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.177.41.190-554-7897-6,111.177.41.190,7897,192.168.0.13,554,6,27/05/2019 09:20:36 AM,2721,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.023888276369,2721.0,0.0,2721.0,2721.0,0.0,0.0,0.0,0.0,0.0,2721.0,2721.0,0.0,2721.0,2721.0,0,0,0,0,0,44,0.0,735.023888276369,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.227.232.199-554-7689-6,111.227.232.199,7689,192.168.0.13,554,6,27/05/2019 09:20:32 AM,6305,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.20856463124505,6305.0,0.0,6305.0,6305.0,0.0,0.0,0.0,0.0,0.0,6305.0,6305.0,0.0,6305.0,6305.0,0,0,0,0,0,44,0.0,317.20856463124505,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.132.119.243-554-7422-6,111.132.119.243,7422,192.168.0.13,554,6,27/05/2019 09:20:35 AM,2660,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.8796992481203,2660.0,0.0,2660.0,2660.0,0.0,0.0,0.0,0.0,0.0,2660.0,2660.0,0.0,2660.0,2660.0,0,0,0,0,0,44,0.0,751.8796992481203,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.13-111.248.106.43-554-7974-6,111.248.106.43,7974,192.168.0.13,554,6,27/05/2019 09:20:35 AM,4865,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0996916752312,4865.0,0.0,4865.0,4865.0,0.0,0.0,0.0,0.0,0.0,4865.0,4865.0,0.0,4865.0,4865.0,0,0,0,0,0,44,0.0,411.0996916752312,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
