Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.24-210.89.164.90-60080-8899-17,192.168.0.24,60080,210.89.164.90,8899,17,25/07/2019 02:20:43 PM,1562672,473,1,15136.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,9706.45151381736,303.3266098067925,3303.746300211419,43611.37602093903,936200.0,0.0,1562665.0,3310.730932203392,43657.383212967325,936200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3784,8,302.68668025023806,0.6399295565544144,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.06751054852321,32.0,32.0,0,0,0,0,0,0,473,15136,1,32,-1,-1,473,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-210.89.164.90-51991-8899-17,192.168.0.24,51991,210.89.164.90,8899,17,25/07/2019 02:19:54 PM,49168592,6985,1,223520.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,4546.642295553227,142.08257173603835,7039.168503937014,75020.5063102267,4897478.0,0.0,49164819.0,7039.6361683848845,75025.8675884222,4897478.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,55880,8,142.06223354941707,0.0203381866212479,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00458058975093,32.0,32.0,0,0,0,0,0,0,6985,223520,1,32,-1,-1,6985,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-210.89.164.90-60207-8899-17,192.168.0.24,60207,210.89.164.90,8899,17,25/07/2019 02:21:08 PM,524180,656,1,20992.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,40108.359723759015,1253.3862413674692,799.0548780487798,5668.388862474103,97533.0,0.0,524174.0,800.2656488549623,5672.635944540438,97533.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5248,8,1251.4784997519937,1.9077416154756,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.048706240487064,32.0,32.0,0,0,0,0,0,0,656,20992,1,32,-1,-1,656,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
130.198.91.98-192.168.0.19-443-5413-6,192.168.0.19,5413,130.198.91.98,443,6,25/07/2019 02:21:44 PM,192409,4,1,103.0,0.0,37.0,0.0,25.75,17.576025337563287,0.0,0.0,0.0,0.0,535.3179944805077,25.98631041167513,48102.25,94643.67064019652,190066.0,148.0,2343.0,781.0,576.5231998801089,1276.0,148.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,32,20.789048329340105,5.197262082335026,0.0,37.0,17.166666666666664,19.030676989184244,362.1666666666666,0,1,0,0,0,0,0,0,0.0,20.6,25.75,0.0,0,0,0,0,0,0,4,103,1,0,-1,64240,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
130.198.91.101-192.168.0.19-443-5326-6,192.168.0.19,5326,130.198.91.101,443,6,25/07/2019 02:21:20 PM,241763,5,1,103.0,0.0,37.0,0.0,20.6,19.086644545335883,0.0,0.0,0.0,0.0,426.03706936131664,24.8176933608534,48352.600000000006,107722.38466911136,241052.0,70.0,241279.0,60319.75,120488.1668501794,241052.0,70.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,112,32,20.6814111340445,4.136282226808899,0.0,37.0,14.714285714285715,18.544669366283184,343.9047619047619,0,1,0,0,0,0,0,0,0.0,17.166666666666668,20.6,0.0,0,0,0,0,0,0,5,103,1,0,-1,64240,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.19-37.252.244.134-5277-5938-6,192.168.0.19,5277,37.252.244.134,5938,6,25/07/2019 02:21:08 PM,15636,2,1,37.0,0.0,37.0,0.0,18.5,26.16295090390226,0.0,0.0,0.0,0.0,2366.3341007930417,191.8649270913277,7818.0,10827.219033528416,15474.0,162.0,162.0,162.0,0.0,162.0,162.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,32,127.90995139421848,63.954975697109234,0.0,37.0,9.25,18.5,342.25,0,1,0,0,0,0,0,0,0.0,12.333333333333334,18.5,0.0,0,0,0,0,0,0,2,37,1,0,-1,64240,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-210.89.164.90-64779-9988-17,192.168.0.24,64779,210.89.164.90,9988,17,25/07/2019 02:19:58 PM,47429893,20245,1,647840.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,13659.57119068348,426.8615997088587,2342.795406273164,42220.28754193199,3622264.0,0.0,47404708.0,2341.6670618454955,42221.025111136965,3622264.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,161960,8,426.8405159589966,0.0210837498621386,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.00158055912279,32.0,32.0,0,0,0,0,0,0,20245,647840,1,32,-1,-1,20245,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
163.152.1.1-192.168.0.16-53-56826-17,192.168.0.16,56826,163.152.1.1,53,17,25/07/2019 02:21:18 PM,1510,0,2,0.0,383.0,0.0,0.0,0.0,0.0,356.0,27.0,191.5,232.6381310103741,253642.38410596023,1324.503311258278,1510.0,0.0,1510.0,1510.0,0.0,0.0,0.0,0.0,0.0,1510.0,1510.0,0.0,1510.0,1510.0,0,0,0,0,0,16,0.0,1324.503311258278,27.0,356.0,136.66666666666669,189.9482385633869,36080.333333333336,0,0,0,0,0,0,0,0,0.0,205.0,0.0,191.5,0,0,0,0,0,0,0,0,2,383,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-210.89.164.90-60224-8899-17,192.168.0.24,60224,210.89.164.90,8899,17,25/07/2019 02:21:10 PM,23220,34,1,1088.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,48234.28079242032,1507.321274763135,682.9411764705882,2604.5352861961765,15028.0,1.0,23145.0,701.3636363636364,2642.6675776828915,15028.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,272,8,1464.2549526270457,43.066322136089575,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.91428571428571,32.0,32.0,0,0,0,0,0,0,34,1088,1,32,-1,-1,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.0.24-210.89.164.90-60181-8899-17,192.168.0.24,60181,210.89.164.90,8899,17,25/07/2019 02:21:03 PM,634346,665,1,21280.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,33596.80678998528,1049.90021218704,953.9037593984954,5438.041448715957,65371.0,1.0,632704.0,952.8674698795184,5442.075279054114,65371.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5320,8,1048.3237854420142,1.5764267450255856,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,32.048048048048045,32.0,32.0,0,0,0,0,0,0,665,21280,1,32,-1,-1,665,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
